	pval	padj
180	0.049944506104328525	0.049944506104328525
1621	0.08990011098779134	0.06992230854605994
2294	0.09433962264150944	0.0780614132445431
329	0.09655937846836848	0.08268590455049946
3519	0.09877913429522753	0.08590455049944508
1431	0.11764705882352941	0.09119496855345914
1023	0.14206437291897892	0.09846202631996195
780	0.14872364039955605	0.10474472807991123
3849	0.15871254162042175	0.11074115180663463
1855	0.16759156492785793	0.11642619311875695
6902	0.1709211986681465	0.12138028453233782
3817	0.17758046614872364	0.12606363300036996
4940	0.17758046614872364	0.1300264663194741
4115	0.17758046614872364	0.13342318059299194
6455	0.18201997780244172	0.1366629670736219
714	0.18312985571587126	0.1395671476137625
3854	0.18423973362930077	0.14219494679114708
6452	0.18423973362930077	0.1445307682821556
221	0.1864594894561598	0.14673754308078743
1833	0.19089900110987792	0.14894561598224193
4900	0.19200887902330743	0.15099624755562602
1503	0.19866814650388456	0.15316315205327413
305	0.20199778024417314	0.15528639675722627
6689	0.20199778024417314	0.15723270440251572
4936	0.20310765815760268	0.1590677025527192
1612	0.20310765815760268	0.1607615469990609
6862	0.20421753607103219	0.16237102807580056
611	0.20421753607103219	0.1638655462184874
5072	0.20643729189789123	0.16533353744881166
4982	0.20643729189789123	0.16670366259711428
2089	0.20865704772475027	0.16805699760123158
1442	0.20865704772475027	0.16932574916759152
899	0.21198668146503885	0.17061850469175657
914	0.21309655937846836	0.17186785924136574
2812	0.2142064372918979	0.17307753289995237
6185	0.2142064372918979	0.1742200024663953
5163	0.2153163152053274	0.17533071362150157
3038	0.2153163152053274	0.17638296629476014
3568	0.2153163152053274	0.17738125729246698
2273	0.21753607103218647	0.17838512763595998
6435	0.22086570477247502	0.17942123927343595
1697	0.22308546059933407	0.18046086359071922
1021	0.2241953385127636	0.1814779444028598
5737	0.2253052164261931	0.18247401876702646
5341	0.2253052164261931	0.18342582315945238
870	0.22641509433962265	0.18436037253293436
3598	0.2286348501664817	0.1853023826953503
6636	0.2286348501664817	0.1862051424343322
2820	0.23085460599334073	0.18711635597635276
4468	0.23640399556048836	0.1881021087680355
851	0.23751387347391786	0.18907096689952335
6617	0.2386237513873474	0.19002390506275074
6673	0.2386237513873474	0.1909408832952903
2804	0.24084350721420644	0.19186500596045541
3310	0.24195338512763595	0.19277570376349507
3805	0.24306326304106549	0.19367369589345168
1258	0.24306326304106549	0.19454017952762034
6835	0.244173140954495	0.1953959202418768
1727	0.244173140954495	0.19622265279632792
1670	0.244173140954495	0.19702182759896403
6921	0.244173140954495	0.1977947999490547
5037	0.24750277469478357	0.19859654147721162
1000	0.24750277469478357	0.19937283089336355
1734	0.24750277469478357	0.20012486126526075
1945	0.2486126526082131	0.20087082728592154
6804	0.24972253052164262	0.2016110046076749
602	0.24972253052164262	0.20232908708400277
6350	0.2519422863485017	0.20305869295553952
4680	0.25305216426193117	0.20378323601795098
35	0.2541620421753607	0.20450293324877114
1197	0.25527192008879024	0.20521798940144745
4920	0.25527192008879024	0.20591318288321608
6710	0.2563817980022198	0.20660453377525723
5974	0.2563817980022198	0.20727719950805404
6819	0.2563817980022198	0.20793192748797626
1551	0.2563817980022198	0.2085694257842163
2538	0.25749167591564925	0.20920477968202714
6648	0.25749167591564925	0.20982384245425306
1500	0.25749167591564925	0.21042723275123273
1530	0.25749167591564925	0.21101553829078795
5574	0.2586015538290788	0.21160301996410016
798	0.2597114317425083	0.21218970791261735
6140	0.2597114317425083	0.21276225880213412
2531	0.2597114317425083	0.21332117752761479
6166	0.26082130965593786	0.2138800026114774
186	0.26082130965593786	0.2144258317631572
717	0.26082130965593786	0.21495911311824661
4432	0.26082130965593786	0.21548027444253856
5271	0.2619311875693674	0.2160021948147501
6124	0.2619311875693674	0.2165125169564681
6946	0.2630410654827969	0.21702381968752663
6295	0.2641509433962264	0.21753607103218642
6349	0.2641509433962264	0.21803730621889655
3269	0.2641509433962264	0.218527876827166
1110	0.2641509433962264	0.21900811963315614
3667	0.26526082130965595	0.21948991860895303
498	0.26526082130965595	0.21996178358524893
5311	0.26526082130965595	0.2204240186640694
6866	0.26526082130965595	0.22087691566048948
6865	0.2663706992230855	0.22133185349611545
5242	0.2663706992230855	0.221777782661729
4213	0.2663706992230855	0.2222149681182129
4454	0.2663706992230855	0.22264366453670678
5567	0.26748057713651496	0.2230747886963203
6701	0.26748057713651496	0.2234977009671793
3349	0.26748057713651496	0.22391263376122963
4114	0.26748057713651496	0.22431981080212013
3120	0.26748057713651496	0.22471944752743858
543	0.26748057713651496	0.22511175146880624
6751	0.26748057713651496	0.22549692261123996
6702	0.2685904550499445	0.22588515263321027
4026	0.2685904550499445	0.22626644997621684
5954	0.26970033296337403	0.22665082062212089
1172	0.26970033296337403	0.22702844792335997
4847	0.26970033296337403	0.22739950779327311
5594	0.26970033296337403	0.22776417007922228
4259	0.26970033296337403	0.22812259882182187
2801	0.27081021087680357	0.22848435824601662
5475	0.27081021087680357	0.22884003767988878
6510	0.27192008879023305	0.2291990381058083
5632	0.27192008879023305	0.22955210464039033
5980	0.27192008879023305	0.22989938319899558
3396	0.27192008879023305	0.23024101495176985
6997	0.27192008879023305	0.23057713651498327
4264	0.27192008879023305	0.23090788013318525
4610	0.2730299667036626	0.23124218240755412
6132	0.2730299667036626	0.23157122007917705
6431	0.2730299667036626	0.23189511653718084
39	0.2730299667036626	0.23221399134467297
6829	0.2730299667036626	0.23252796038589596
6941	0.2741398446170921	0.23284560835712648
4145	0.2741398446170921	0.23315844348030804
4073	0.2741398446170921	0.23346657431592296
5653	0.2741398446170921	0.23377010618384214
170	0.2741398446170921	0.2340691412833477
6799	0.2741398446170921	0.23436377880786052
4463	0.27524972253052166	0.2346622163532814
1798	0.27524972253052166	0.23495632871688463
6904	0.2763596004439512	0.23525419398110814
1334	0.2763596004439512	0.23554780402727132
5675	0.2763596004439512	0.23583724939192863
2869	0.2763596004439512	0.2361226180613091
4624	0.2763596004439512	0.2364039955604884
5969	0.27746947835738067	0.23668917252435573
6798	0.27746947835738067	0.23697041601285937
6427	0.27746947835738067	0.23724780685083555
6481	0.27746947835738067	0.23752142366380527
6337	0.27746947835738067	0.2377913429522754
5829	0.2785793562708102	0.23806508800810447
5936	0.2785793562708102	0.23833518312985585
6358	0.2785793562708102	0.23860170083277607
1549	0.2785793562708102	0.23886471172381576
5289	0.2785793562708102	0.2391242845639922
3417	0.27968923418423974	0.23938769332776005
6962	0.27968923418423974	0.2396477032687696
