	pval	padj
0	0.0	0.0
4079	0.0	0.0
4078	0.0	0.0
4077	0.0	0.0
4075	0.0	0.0
4073	0.0	0.0
4072	0.0	0.0
4070	0.0	0.0
4080	0.0	0.0
4066	0.0	0.0
4064	0.0	0.0
4062	0.0	0.0
4061	0.0	0.0
4060	0.0	0.0
4058	0.0	0.0
4055	0.0	0.0
4054	0.0	0.0
4065	0.0	0.0
4052	0.0	0.0
4081	0.0	0.0
4084	0.0	0.0
4119	0.0	0.0
4117	0.0	0.0
4114	0.0	0.0
4113	0.0	0.0
4112	0.0	0.0
4111	0.0	0.0
4104	0.0	0.0
4082	0.0	0.0
4103	0.0	0.0
4101	0.0	0.0
4100	0.0	0.0
4096	0.0	0.0
4095	0.0	0.0
4092	0.0	0.0
4087	0.0	0.0
4085	0.0	0.0
4102	0.0	0.0
4120	0.0	0.0
4050	0.0	0.0
4045	0.0	0.0
4009	0.0	0.0
4008	0.0	0.0
4004	0.0	0.0
4001	0.0	0.0
3999	0.0	0.0
3997	0.0	0.0
3996	0.0	0.0
4010	0.0	0.0
3995	0.0	0.0
3993	0.0	0.0
3991	0.0	0.0
3990	0.0	0.0
3989	0.0	0.0
3985	0.0	0.0
3984	0.0	0.0
3982	0.0	0.0
3994	0.0	0.0
4047	0.0	0.0
4011	0.0	0.0
4014	0.0	0.0
4044	0.0	0.0
4042	0.0	0.0
4041	0.0	0.0
4040	0.0	0.0
4037	0.0	0.0
4036	0.0	0.0
4033	0.0	0.0
4013	0.0	0.0
4031	0.0	0.0
4029	0.0	0.0
4028	0.0	0.0
4023	0.0	0.0
4022	0.0	0.0
4019	0.0	0.0
4016	0.0	0.0
4015	0.0	0.0
4030	0.0	0.0
3977	0.0	0.0
4121	0.0	0.0
4124	0.0	0.0
4233	0.0	0.0
4232	0.0	0.0
4230	0.0	0.0
4229	0.0	0.0
4228	0.0	0.0
4223	0.0	0.0
4222	0.0	0.0
4234	0.0	0.0
4218	0.0	0.0
4214	0.0	0.0
4213	0.0	0.0
4209	0.0	0.0
4208	0.0	0.0
4206	0.0	0.0
4203	0.0	0.0
4200	0.0	0.0
4216	0.0	0.0
4199	0.0	0.0
4235	0.0	0.0
4239	0.0	0.0
4271	0.0	0.0
4270	0.0	0.0
4268	0.0	0.0
4265	0.0	0.0
4264	0.0	0.0
4262	0.0	0.0
4261	0.0	0.0
4236	0.0	0.0
4258	0.0	0.0
4254	0.0	0.0
4250	0.0	0.0
4248	0.0	0.0
4247	0.0	0.0
4244	0.0	0.0
4243	0.0	0.0
4242	0.0	0.0
4256	0.0	0.0
4123	0.0	0.0
4198	0.0	0.0
4194	0.0	0.0
4155	0.0	0.0
4151	0.0	0.0
4150	0.0	0.0
4147	0.0	0.0
4145	0.0	0.0
4144	0.0	0.0
4143	0.0	0.0
4157	0.0	0.0
4141	0.0	0.0
4138	0.0	0.0
4137	0.0	0.0
4136	0.0	0.0
4135	0.0	0.0
4132	0.0	0.0
4127	0.0	0.0
4126	0.0	0.0
4140	0.0	0.0
4197	0.0	0.0
4159	0.0	0.0
4163	0.0	0.0
4193	0.0	0.0
4191	0.0	0.0
4190	0.0	0.0
4189	0.0	0.0
4186	0.0	0.0
4184	0.0	0.0
4179	0.0	0.0
4160	0.0	0.0
4178	0.0	0.0
4176	0.0	0.0
4175	0.0	0.0
4174	0.0	0.0
4173	0.0	0.0
4171	0.0	0.0
4170	0.0	0.0
4167	0.0	0.0
4177	0.0	0.0
3975	0.0	0.0
3974	0.0	0.0
3973	0.0	0.0
3798	0.0	0.0
3796	0.0	0.0
3795	0.0	0.0
3793	0.0	0.0
3792	0.0	0.0
3789	0.0	0.0
3788	0.0	0.0
3801	0.0	0.0
3787	0.0	0.0
3784	0.0	0.0
3783	0.0	0.0
3782	0.0	0.0
3781	0.0	0.0
3779	0.0	0.0
3778	0.0	0.0
3774	0.0	0.0
3786	0.0	0.0
3773	0.0	0.0
3802	0.0	0.0
3804	0.0	0.0
3829	0.0	0.0
3825	0.0	0.0
3823	0.0	0.0
3822	0.0	0.0
3821	0.0	0.0
3819	0.0	0.0
3816	0.0	0.0
3803	0.0	0.0
3815	0.0	0.0
3813	0.0	0.0
3812	0.0	0.0
3811	0.0	0.0
3810	0.0	0.0
3809	0.0	0.0
3807	0.0	0.0
3805	0.0	0.0
3814	0.0	0.0
3831	0.0	0.0
3772	0.0	0.0
3767	0.0	0.0
3714	0.0	0.0
3713	0.0	0.0
3712	0.0	0.0
3710	0.0	0.0
3707	0.0	0.0
3706	0.0	0.0
3704	0.0	0.0
3715	0.0	0.0
3699	0.0	0.0
3693	0.0	0.0
3692	0.0	0.0
3691	0.0	0.0
3690	0.0	0.0
3689	0.0	0.0
3687	0.0	0.0
3685	0.0	0.0
3698	0.0	0.0
3768	0.0	0.0
3720	0.0	0.0
3726	0.0	0.0
3766	0.0	0.0
3765	0.0	0.0
3764	0.0	0.0
3761	0.0	0.0
3758	0.0	0.0
3757	0.0	0.0
3752	0.0	0.0
3725	0.0	0.0
3751	0.0	0.0
3749	0.0	0.0
3747	0.0	0.0
3745	0.0	0.0
3742	0.0	0.0
3737	0.0	0.0
3733	0.0	0.0
3727	0.0	0.0
3750	0.0	0.0
3832	0.0	0.0
3833	0.0	0.0
3834	0.0	0.0
3937	0.0	0.0
3936	0.0	0.0
3935	0.0	0.0
3932	0.0	0.0
3929	0.0	0.0
3928	0.0	0.0
3927	0.0	0.0
3938	0.0	0.0
3923	0.0	0.0
