	pval	padj
3512	0.0	0.0
3809	0.0	0.0
3810	0.0	0.0
3811	0.0	0.0
3813	0.0	0.0
3817	0.0	0.0
3818	0.0	0.0
3819	0.0	0.0
3820	0.0	0.0
3821	0.0	0.0
3825	0.0	0.0
3826	0.0	0.0
3827	0.0	0.0
3832	0.0	0.0
3835	0.0	0.0
3836	0.0	0.0
3839	0.0	0.0
3840	0.0	0.0
3864	0.0	0.0
3863	0.0	0.0
3862	0.0	0.0
3860	0.0	0.0
3858	0.0	0.0
3856	0.0	0.0
3808	0.0	0.0
3852	0.0	0.0
3848	0.0	0.0
3847	0.0	0.0
3846	0.0	0.0
3844	0.0	0.0
3843	0.0	0.0
3842	0.0	0.0
3850	0.0	0.0
3868	0.0	0.0
3807	0.0	0.0
3804	0.0	0.0
3746	0.0	0.0
3747	0.0	0.0
3748	0.0	0.0
3751	0.0	0.0
3752	0.0	0.0
3753	0.0	0.0
3758	0.0	0.0
3762	0.0	0.0
3770	0.0	0.0
3771	0.0	0.0
3772	0.0	0.0
3773	0.0	0.0
3774	0.0	0.0
3775	0.0	0.0
3777	0.0	0.0
3778	0.0	0.0
3780	0.0	0.0
3802	0.0	0.0
3800	0.0	0.0
3797	0.0	0.0
3796	0.0	0.0
3795	0.0	0.0
3792	0.0	0.0
3806	0.0	0.0
3791	0.0	0.0
3789	0.0	0.0
3788	0.0	0.0
3787	0.0	0.0
3785	0.0	0.0
3783	0.0	0.0
3781	0.0	0.0
3790	0.0	0.0
3870	0.0	0.0
3871	0.0	0.0
3872	0.0	0.0
3942	0.0	0.0
3943	0.0	0.0
3944	0.0	0.0
3947	0.0	0.0
3951	0.0	0.0
3956	0.0	0.0
3959	0.0	0.0
3960	0.0	0.0
3961	0.0	0.0
3962	0.0	0.0
3964	0.0	0.0
3967	0.0	0.0
3968	0.0	0.0
3969	0.0	0.0
3970	0.0	0.0
3972	0.0	0.0
3973	0.0	0.0
4011	0.0	0.0
4010	0.0	0.0
4009	0.0	0.0
4008	0.0	0.0
4003	0.0	0.0
4002	0.0	0.0
3941	0.0	0.0
4001	0.0	0.0
3989	0.0	0.0
3988	0.0	0.0
3985	0.0	0.0
3982	0.0	0.0
3978	0.0	0.0
3977	0.0	0.0
3993	0.0	0.0
3940	0.0	0.0
3939	0.0	0.0
3938	0.0	0.0
3896	0.0	0.0
3894	0.0	0.0
3893	0.0	0.0
3892	0.0	0.0
3890	0.0	0.0
3885	0.0	0.0
3898	0.0	0.0
3884	0.0	0.0
3881	0.0	0.0
3880	0.0	0.0
3879	0.0	0.0
3878	0.0	0.0
3877	0.0	0.0
3873	0.0	0.0
3882	0.0	0.0
3745	0.0	0.0
3901	0.0	0.0
3906	0.0	0.0
3933	0.0	0.0
3932	0.0	0.0
3930	0.0	0.0
3927	0.0	0.0
3926	0.0	0.0
3923	0.0	0.0
3905	0.0	0.0
3922	0.0	0.0
3920	0.0	0.0
3915	0.0	0.0
3913	0.0	0.0
3912	0.0	0.0
3911	0.0	0.0
3909	0.0	0.0
3921	0.0	0.0
3743	0.0	0.0
3737	0.0	0.0
3735	0.0	0.0
3515	0.0	0.0
3516	0.0	0.0
3518	0.0	0.0
3520	0.0	0.0
3523	0.0	0.0
3524	0.0	0.0
3525	0.0	0.0
3527	0.0	0.0
3528	0.0	0.0
3530	0.0	0.0
3536	0.0	0.0
3537	0.0	0.0
3539	0.0	0.0
3541	0.0	0.0
3542	0.0	0.0
3547	0.0	0.0
3552	0.0	0.0
3587	0.0	0.0
3586	0.0	0.0
3581	0.0	0.0
3580	0.0	0.0
3579	0.0	0.0
3575	0.0	0.0
3514	0.0	0.0
3572	0.0	0.0
3568	0.0	0.0
3564	0.0	0.0
3560	0.0	0.0
3558	0.0	0.0
3557	0.0	0.0
3556	0.0	0.0
3570	0.0	0.0
3509	0.0	0.0
3507	0.0	0.0
3506	0.0	0.0
3462	0.0	0.0
3461	0.0	0.0
3459	0.0	0.0
3456	0.0	0.0
3455	0.0	0.0
3453	0.0	0.0
3469	0.0	0.0
3447	0.0	0.0
3443	0.0	0.0
3441	0.0	0.0
3440	0.0	0.0
3439	0.0	0.0
3437	0.0	0.0
3433	0.0	0.0
