	Posteriors	FDR
7025	0.0	0.0
2508	0.0	0.0
2510	0.0	0.0
2512	0.0	0.0
5813	0.0	0.0
5805	0.0	0.0
2524	0.0	0.0
2529	0.0	0.0
2530	0.0	0.0
5814	0.0	0.0
2531	0.0	0.0
2539	0.0	0.0
5795	0.0	0.0
2543	0.0	0.0
5787	0.0	0.0
2555	0.0	0.0
2557	0.0	0.0
2558	0.0	0.0
2559	0.0	0.0
2535	0.0	0.0
2563	0.0	0.0
5815	0.0	0.0
5818	0.0	0.0
2453	0.0	0.0
2459	0.0	0.0
2460	0.0	0.0
2461	0.0	0.0
2462	0.0	0.0
5831	0.0	0.0
5829	0.0	0.0
5828	0.0	0.0
5817	0.0	0.0
2468	0.0	0.0
2477	0.0	0.0
2480	0.0	0.0
2484	0.0	0.0
5823	0.0	0.0
2491	0.0	0.0
2493	0.0	0.0
2494	0.0	0.0
2496	0.0	0.0
2469	0.0	0.0
2566	0.0	0.0
2567	0.0	0.0
5783	0.0	0.0
2619	0.0	0.0
2620	0.0	0.0
2622	0.0	0.0
5759	0.0	0.0
2630	0.0	0.0
5755	0.0	0.0
5749	0.0	0.0
2640	0.0	0.0
2618	0.0	0.0
5747	0.0	0.0
2644	0.0	0.0
2645	0.0	0.0
5743	0.0	0.0
2648	0.0	0.0
5741	0.0	0.0
2651	0.0	0.0
5735	0.0	0.0
2659	0.0	0.0
2643	0.0	0.0
2615	0.0	0.0
2614	0.0	0.0
5763	0.0	0.0
2570	0.0	0.0
5782	0.0	0.0
2575	0.0	0.0
2576	0.0	0.0
2577	0.0	0.0
2584	0.0	0.0
5775	0.0	0.0
5771	0.0	0.0
5770	0.0	0.0
2591	0.0	0.0
2593	0.0	0.0
2594	0.0	0.0
2598	0.0	0.0
2599	0.0	0.0
2601	0.0	0.0
2603	0.0	0.0
2607	0.0	0.0
2608	0.0	0.0
2610	0.0	0.0
2452	0.0	0.0
2450	0.0	0.0
2449	0.0	0.0
5837	0.0	0.0
5909	0.0	0.0
2302	0.0	0.0
2305	0.0	0.0
5905	0.0	0.0
2313	0.0	0.0
2314	0.0	0.0
5899	0.0	0.0
2319	0.0	0.0
2297	0.0	0.0
5893	0.0	0.0
5891	0.0	0.0
2329	0.0	0.0
2334	0.0	0.0
2338	0.0	0.0
5882	0.0	0.0
2343	0.0	0.0
2344	0.0	0.0
5881	0.0	0.0
2325	0.0	0.0
2290	0.0	0.0
2287	0.0	0.0
2286	0.0	0.0
5935	0.0	0.0
2237	0.0	0.0
2238	0.0	0.0
2241	0.0	0.0
2242	0.0	0.0
2245	0.0	0.0
2254	0.0	0.0
2255	0.0	0.0
5928	0.0	0.0
5926	0.0	0.0
2262	0.0	0.0
5918	0.0	0.0
2277	0.0	0.0
2278	0.0	0.0
2279	0.0	0.0
2280	0.0	0.0
2282	0.0	0.0
2283	0.0	0.0
5914	0.0	0.0
2349	0.0	0.0
2661	0.0	0.0
2350	0.0	0.0
2354	0.0	0.0
5853	0.0	0.0
2399	0.0	0.0
2402	0.0	0.0
5852	0.0	0.0
2404	0.0	0.0
2405	0.0	0.0
2410	0.0	0.0
2411	0.0	0.0
5854	0.0	0.0
2413	0.0	0.0
2417	0.0	0.0
2421	0.0	0.0
2431	0.0	0.0
5844	0.0	0.0
5843	0.0	0.0
2437	0.0	0.0
5840	0.0	0.0
2443	0.0	0.0
2416	0.0	0.0
2394	0.0	0.0
5856	0.0	0.0
2391	0.0	0.0
5876	0.0	0.0
2358	0.0	0.0
2361	0.0	0.0
5874	0.0	0.0
2364	0.0	0.0
5865	0.0	0.0
2366	0.0	0.0
2367	0.0	0.0
2368	0.0	0.0
5864	0.0	0.0
2373	0.0	0.0
2375	0.0	0.0
2379	0.0	0.0
2381	0.0	0.0
5860	0.0	0.0
5858	0.0	0.0
5857	0.0	0.0
2388	0.0	0.0
2390	0.0	0.0
2351	0.0	0.0
5938	0.0	0.0
2663	0.0	0.0
5730	0.0	0.0
2921	0.0	0.0
5621	0.0	0.0
2938	0.0	0.0
2943	0.0	0.0
2944	0.0	0.0
2946	0.0	0.0
2949	0.0	0.0
5610	0.0	0.0
2919	0.0	0.0
2957	0.0	0.0
2960	0.0	0.0
5607	0.0	0.0
2963	0.0	0.0
2967	0.0	0.0
2968	0.0	0.0
2971	0.0	0.0
2973	0.0	0.0
2974	0.0	0.0
2959	0.0	0.0
2975	0.0	0.0
5624	0.0	0.0
2914	0.0	0.0
5641	0.0	0.0
2880	0.0	0.0
2881	0.0	0.0
2882	0.0	0.0
2886	0.0	0.0
2887	0.0	0.0
2889	0.0	0.0
2890	0.0	0.0
2915	0.0	0.0
2892	0.0	0.0
5634	0.0	0.0
5632	0.0	0.0
5631	0.0	0.0
5630	0.0	0.0
5629	0.0	0.0
2904	0.0	0.0
5628	0.0	0.0
5625	0.0	0.0
2894	0.0	0.0
2977	0.0	0.0
2978	0.0	0.0
2983	0.0	0.0
3025	0.0	0.0
3026	0.0	0.0
3027	0.0	0.0
3028	0.0	0.0
3030	0.0	0.0
3031	0.0	0.0
5579	0.0	0.0
3034	0.0	0.0
3023	0.0	0.0
3035	0.0	0.0
3044	0.0	0.0
5574	0.0	0.0
5570	0.0	0.0
5569	0.0	0.0
5567	0.0	0.0
3056	0.0	0.0
5565	0.0	0.0
3059	0.0	0.0
3043	0.0	0.0
5587	0.0	0.0
3018	0.0	0.0
3016	0.0	0.0
2984	0.0	0.0
5603	0.0	0.0
5602	0.0	0.0
5601	0.0	0.0
2988	0.0	0.0
2989	0.0	0.0
5599	0.0	0.0
2993	0.0	0.0
2996	0.0	0.0
5597	0.0	0.0
5594	0.0	0.0
5592	0.0	0.0
5590	0.0	0.0
3004	0.0	0.0
3008	0.0	0.0
3010	0.0	0.0
3012	0.0	0.0
3013	0.0	0.0
3015	0.0	0.0
2874	0.0	0.0
5642	0.0	0.0
2872	0.0	0.0
5643	0.0	0.0
5710	0.0	0.0
5709	0.0	0.0
2724	0.0	0.0
2725	0.0	0.0
2726	0.0	0.0
5708	0.0	0.0
5705	0.0	0.0
5700	0.0	0.0
5712	0.0	0.0
2738	0.0	0.0
2742	0.0	0.0
2745	0.0	0.0
2750	0.0	0.0
5687	0.0	0.0
5686	0.0	0.0
2762	0.0	0.0
2763	0.0	0.0
5683	0.0	0.0
2741	0.0	0.0
5713	0.0	0.0
2715	0.0	0.0
2713	0.0	0.0
5724	0.0	0.0
2672	0.0	0.0
2683	0.0	0.0
2685	0.0	0.0
2688	0.0	0.0
2690	0.0	0.0
2691	0.0	0.0
2693	0.0	0.0
2694	0.0	0.0
5719	0.0	0.0
2697	0.0	0.0
2698	0.0	0.0
2699	0.0	0.0
2701	0.0	0.0
5716	0.0	0.0
2705	0.0	0.0
5715	0.0	0.0
2708	0.0	0.0
2711	0.0	0.0
5682	0.0	0.0
2667	0.0	0.0
2771	0.0	0.0
2775	0.0	0.0
2823	0.0	0.0
2826	0.0	0.0
5658	0.0	0.0
5655	0.0	0.0
2830	0.0	0.0
5654	0.0	0.0
2835	0.0	0.0
2836	0.0	0.0
2821	0.0	0.0
5650	0.0	0.0
5648	0.0	0.0
2850	0.0	0.0
2852	0.0	0.0
2856	0.0	0.0
2861	0.0	0.0
2862	0.0	0.0
2863	0.0	0.0
2864	0.0	0.0
5649	0.0	0.0
5662	0.0	0.0
2816	0.0	0.0
2814	0.0	0.0
2776	0.0	0.0
2777	0.0	0.0
5678	0.0	0.0
5676	0.0	0.0
2781	0.0	0.0
5675	0.0	0.0
5673	0.0	0.0
2788	0.0	0.0
5672	0.0	0.0
5671	0.0	0.0
2794	0.0	0.0
2795	0.0	0.0
2796	0.0	0.0
2801	0.0	0.0
5666	0.0	0.0
2808	0.0	0.0
2809	0.0	0.0
2810	0.0	0.0
2813	0.0	0.0
2774	0.0	0.0
3069	0.0	0.0
5939	0.0	0.0
2226	0.0	0.0
1680	0.0	0.0
1684	0.0	0.0
6212	0.0	0.0
1686	0.0	0.0
6211	0.0	0.0
6206	0.0	0.0
