"id" "baseMean" "baseMeanA" "baseMeanB" "foldChange" "log2FoldChange" "DESeq_pval" "DESeq_padj" "samples" "DGEClust_pval" "DGEClust_padj"
"1" "cluster_4" 431.012795821388 556.514744969308 263.676863624161 0.473800318873317 -1.07764892535777 0.0159981852517088 0.0288435333791393 "KRAUS_MOEL" 0.566304211973503 0.0898412412288213
"3" "cluster_14" 3120.73050088853 1932.39744891564 4705.1745701857 2.43488966145447 1.28385639716217 2.83951573716209e-05 9.31392977091543e-05 "KRAUS_MOEL" 0.000124984376952881 6.20269860808342e-07
"8" "cluster_19" 5214.61367997218 1396.38532463652 10305.5848204197 7.38018700039138 2.8836573719929 1.52443381694673e-12 1.61305301172706e-11 "KRAUS_MOEL" 0 0
"10" "cluster_23" 373.863931269524 624.330082915587 39.9090624081059 0.0639230168466858 -3.96752069191175 7.17855847510256e-06 2.6545553603195e-05 "KRAUS_MOEL" 0.0226221722284714 0.00220611171488505
"11" "cluster_25" 6.37271512521816 2.16201590032957 11.986980758403 5.54435365464968 2.47101928480855 0.0072310008486428 0.0142271106027903 "KRAUS_MOEL" 0.103362079740032 0.0114738597205024
"12" "cluster_26" 583.316930729858 373.417249515813 863.183172348584 2.31157819695748 1.2088781674428 0.00268874224587761 0.00582339797149695 "KRAUS_MOEL" 0.000499937507811524 1.32252295917729e-05
"13" "cluster_27" 514.993189424586 351.016265559951 733.629087910765 2.09001450898709 1.06351295760332 0.000270289932654305 0.000732660905412479 "KRAUS_MOEL" 0 0
"14" "cluster_30" 14468.2607016961 4566.4465128987 27670.6796200926 6.05956503419719 2.59921423833049 2.38735517707807e-09 1.53463471858651e-08 "KRAUS_MOEL" 0 0
"15" "cluster_31" 357.304381030239 557.064842250989 90.9570994025723 0.163279195712716 -2.61458711387233 1.15718596915031e-15 1.91303261629413e-14 "KRAUS_MOEL" 0 0
"16" "cluster_33" 1026.88596569862 1623.51613163454 231.379077784055 0.142517264396446 -2.8107913984138 1.32220741742929e-12 1.40801627770397e-11 "KRAUS_MOEL" 0 0
"19" "cluster_41" 731.579737361304 323.529813988001 1275.64630185904 3.94290184924458 1.97925779784859 2.46228294319529e-12 2.53665688546775e-11 "KRAUS_MOEL" 0 0
"20" "cluster_42" 202.683325173748 302.826169725733 69.1595324377676 0.228380303130356 -2.13048986538419 1.88952757790876e-11 1.71080164463749e-10 "KRAUS_MOEL" 0 0
"25" "cluster_47" 311.469732015169 396.83247129646 197.652746306781 0.498076041159246 -1.00556207984569 0.000889456968432892 0.00215940727719748 "KRAUS_MOEL" 0.192100987376578 0.0225238054879224
"26" "cluster_49" 617.331446891817 340.581886452009 986.330860811561 2.89601678787619 1.53406996558256 6.84391383246818e-06 2.53876957629118e-05 "KRAUS_MOEL" 0 0
"28" "cluster_52" 555.051514855041 183.127558830878 1050.95012288726 5.73889658987826 2.52077337848012 4.70111486231211e-06 1.78830714794829e-05 "KRAUS_MOEL" 0 0
"29" "cluster_53" 420.95342405423 305.197876147298 575.294154596805 1.88498741163962 0.914554888891425 0.0015667648849381 0.00360684471873364 "KRAUS_MOEL" 0 0
"30" "cluster_55" 1340.9447537386 1645.36761587595 935.047604222125 0.568290997829277 -0.815298232726914 0.00775298080194263 0.0151186353356783 "KRAUS_MOEL" 0.0487439070116235 0.00505264774002015
"31" "cluster_56" 382.577966307619 499.954566477523 226.075832747746 0.452192754914882 -1.14499021764114 0.0043813159371339 0.0090565242054436 "KRAUS_MOEL" 0.416572928383952 0.0555441240576634
"32" "cluster_57" 607.256728301219 895.677674775064 222.695466336094 0.248633490158187 -2.00790745887116 6.3947254381511e-11 5.26104694712525e-10 "KRAUS_MOEL" 0 0
