	Posteriors	FDR
3512	0.0	0.0
3507	0.0	0.0
3508	0.0	0.0
3514	0.0	0.0
3515	0.0	0.0
3516	0.0	0.0
3517	0.0	0.0
3518	0.0	0.0
3520	0.0	0.0
3523	0.0	0.0
3524	0.0	0.0
3525	0.0	0.0
3504	0.0	0.0
3528	0.0	0.0
3536	0.0	0.0
3537	0.0	0.0
3538	0.0	0.0
3544	0.0	0.0
3554	0.0	0.0
3556	0.0	0.0
3559	0.0	0.0
3562	0.0	0.0
3564	0.0	0.0
3567	0.0	0.0
3570	0.0	0.0
3535	0.0	0.0
3572	0.0	0.0
3502	0.0	0.0
3498	0.0	0.0
3431	0.0	0.0
3432	0.0	0.0
3434	0.0	0.0
3435	0.0	0.0
3439	0.0	0.0
3440	0.0	0.0
3441	0.0	0.0
3444	0.0	0.0
3449	0.0	0.0
3450	0.0	0.0
3451	0.0	0.0
3499	0.0	0.0
3453	0.0	0.0
3469	0.0	0.0
3472	0.0	0.0
3473	0.0	0.0
3476	0.0	0.0
3477	0.0	0.0
3478	0.0	0.0
3480	0.0	0.0
3482	0.0	0.0
3483	0.0	0.0
3489	0.0	0.0
3493	0.0	0.0
3461	0.0	0.0
3573	0.0	0.0
3574	0.0	0.0
3580	0.0	0.0
3668	0.0	0.0
3670	0.0	0.0
3673	0.0	0.0
3676	0.0	0.0
3677	0.0	0.0
3679	0.0	0.0
3681	0.0	0.0
3685	0.0	0.0
3687	0.0	0.0
3690	0.0	0.0
3691	0.0	0.0
3666	0.0	0.0
3692	0.0	0.0
3700	0.0	0.0
3702	0.0	0.0
3706	0.0	0.0
3707	0.0	0.0
3718	0.0	0.0
3720	0.0	0.0
3725	0.0	0.0
3727	0.0	0.0
3728	0.0	0.0
3732	0.0	0.0
3733	0.0	0.0
3693	0.0	0.0
3662	0.0	0.0
3661	0.0	0.0
3659	0.0	0.0
3581	0.0	0.0
3582	0.0	0.0
3583	0.0	0.0
3590	0.0	0.0
3592	0.0	0.0
3594	0.0	0.0
3604	0.0	0.0
3608	0.0	0.0
3609	0.0	0.0
3611	0.0	0.0
3612	0.0	0.0
3617	0.0	0.0
3618	0.0	0.0
3621	0.0	0.0
3623	0.0	0.0
3628	0.0	0.0
3634	0.0	0.0
3636	0.0	0.0
3637	0.0	0.0
3643	0.0	0.0
3644	0.0	0.0
3645	0.0	0.0
3647	0.0	0.0
3654	0.0	0.0
3657	0.0	0.0
3428	0.0	0.0
3422	0.0	0.0
3419	0.0	0.0
3418	0.0	0.0
3234	0.0	0.0
3235	0.0	0.0
3236	0.0	0.0
3241	0.0	0.0
3243	0.0	0.0
3244	0.0	0.0
3245	0.0	0.0
3247	0.0	0.0
3248	0.0	0.0
3249	0.0	0.0
3250	0.0	0.0
3228	0.0	0.0
3251	0.0	0.0
3264	0.0	0.0
3266	0.0	0.0
3269	0.0	0.0
3272	0.0	0.0
3277	0.0	0.0
3283	0.0	0.0
3284	0.0	0.0
3288	0.0	0.0
3291	0.0	0.0
3293	0.0	0.0
3294	0.0	0.0
3254	0.0	0.0
3225	0.0	0.0
3224	0.0	0.0
3222	0.0	0.0
3125	0.0	0.0
3136	0.0	0.0
3137	0.0	0.0
3140	0.0	0.0
3147	0.0	0.0
3150	0.0	0.0
3154	0.0	0.0
3163	0.0	0.0
3165	0.0	0.0
3166	0.0	0.0
3170	0.0	0.0
3179	0.0	0.0
3180	0.0	0.0
3182	0.0	0.0
3183	0.0	0.0
3186	0.0	0.0
3188	0.0	0.0
3189	0.0	0.0
3190	0.0	0.0
3191	0.0	0.0
3199	0.0	0.0
3202	0.0	0.0
3210	0.0	0.0
3216	0.0	0.0
3220	0.0	0.0
3299	0.0	0.0
3734	0.0	0.0
3301	0.0	0.0
3308	0.0	0.0
3369	0.0	0.0
3371	0.0	0.0
3373	0.0	0.0
3374	0.0	0.0
3375	0.0	0.0
3378	0.0	0.0
