"id" "baseMean" "baseMeanA" "baseMeanB" "foldChange" "log2FoldChange" "DESeq_pval" "DESeq_padj" "samples" "DGEClust_pval" "DGEClust_padj"
"2" "cluster_12" 614.342163723697 1150.27568054524 78.4086469021511 0.0681650914022494 -3.87482309208583 2.28722778662923e-37 2.00875780360712e-35 "KRAUS_UNC" 0 0
"4" "cluster_15" 600.665357493567 829.710647274826 371.620067712309 0.447891164146068 -1.15877988944032 0.000548396588206265 0.00118664441907521 "KRAUS_UNC" 0.276215473065867 0.0295121552410044
"5" "cluster_16" 721.106824680088 938.356224832782 503.857424527395 0.536957512715583 -0.897120156806145 0.000887824059330967 0.00185209377697725 "KRAUS_UNC" 0.423822022247219 0.0506759549340818
"7" "cluster_18" 53.0514894211099 73.0448736617429 33.058105180477 0.452572556064138 -1.14377899245359 0.000256829315908688 0.000591439781571432 "KRAUS_UNC" 0.200724909386327 0.0212730823141248
"10" "cluster_23" 432.653382360156 624.330082915587 240.976681804724 0.385976406389671 -1.37341543243269 0.0329219051652858 0.0511180786058118 "KRAUS_UNC" 0.617297837770279 0.0949440215140676
"11" "cluster_25" 30.0191644563282 2.16201590032957 57.8763130123269 26.7696056275555 4.74252398009837 1.71396118007166e-08 7.47040400197486e-08 "KRAUS_UNC" 0 0
"12" "cluster_26" 621.505465616269 373.417249515813 869.593681716725 2.32874534543938 1.21955288559494 0.000508649397544783 0.00110643054710515 "KRAUS_UNC" 0 0
"13" "cluster_27" 539.099850460762 351.016265559951 727.183435361573 2.07165167745588 1.05078145213104 0.000125212544848277 0.000303046276301756 "KRAUS_UNC" 0 0
"14" "cluster_30" 7571.53063449331 4566.4465128987 10576.6147560879 2.31615868623721 1.21173409961592 0.00290320088987133 0.0055159246761049 "KRAUS_UNC" 0 0
"15" "cluster_31" 422.026331581157 557.064842250989 286.987820911325 0.515178483983415 -0.956855753179048 0.000461285248837884 0.00101217681397095 "KRAUS_UNC" 0.13623297087864 0.0127560081345635
"16" "cluster_33" 1114.31922142705 1623.51613163454 605.122311219562 0.372723312955525 -1.42382303585963 2.42320187838992e-05 6.61695157309272e-05 "KRAUS_UNC" 0.1822272215973 0.0189411944263515
"17" "cluster_36" 78.3886273246651 147.774207095496 9.00304755383366 0.0609243502691616 -4.03683722943886 0.00467041979451943 0.00853207734693019 "KRAUS_UNC" 0.321084864391951 0.0355937349522337
"19" "cluster_41" 469.490164023263 323.529813988001 615.450514058525 1.90229922390198 0.927744194088209 0.000178953502317648 0.000422063547258743 "KRAUS_UNC" 0.00487439070116235 0.000263597018715959
"23" "cluster_45" 9.68262160710388 13.8889370811708 5.47630613303698 0.394292673444478 -1.3426611916532 0.0125680913161107 0.0211860387684727 "KRAUS_UNC" 0.615423072115985 0.0941295540633526
"30" "cluster_55" 1099.01823523116 1645.36761587595 552.668854586362 0.335893844788074 -1.5739227362756 1.6499603422296e-08 7.20486100963652e-08 "KRAUS_UNC" 0 0
"31" "cluster_56" 384.239638248104 499.954566477523 268.524710018685 0.537098224565887 -0.896742142364729 0.0153935670599295 0.0255323895569086 "KRAUS_UNC" 0.557805274340707 0.0777182797703825
"32" "cluster_57" 653.203757636044 895.677674775064 410.729840497025 0.458568804453202 -1.12478988037741 1.59784387283178e-05 4.50138374118528e-05 "KRAUS_UNC" 0.00399950006249219 0.000217833723842841
"34" "cluster_61" 268.938711236723 387.727567251014 150.149855222433 0.387256073348083 -1.36864022986747 0.0161540821667731 0.0266616352604528 "KRAUS_UNC" 0.339457567804024 0.0376425981589282
"35" "cluster_62" 97.243505602908 160.255489925567 34.231521280249 0.213605919498598 -2.22697646699608 1.62602371199841e-12 1.18510815357893e-11 "KRAUS_UNC" 0 0
"38" "cluster_67" 1059.58491265827 671.144451535425 1448.02537378112 2.15754651695081 1.10939166441039 1.96299789570677e-05 5.43849495868918e-05 "KRAUS_UNC" 0 0
"40" "cluster_72" 174.196786227458 29.0594892919611 319.334083162954 10.9889778156319 3.45798528928149 8.77513143339496e-17 1.07038321963599e-15 "KRAUS_UNC" 0.00462442194725659 0.000257232727909715
"41" "cluster_73" 639.618381425063 512.822291214702 766.414471635423 1.49450303694882 0.579665828689842 0.0195536570771063 0.0317944907715226 "KRAUS_UNC" 0.000374953130858643 4.77807477284656e-06
