	Posteriors	FDR
5628	0.0	0.0
5673	0.0	0.0
2047	0.0	0.0
2048	0.0	0.0
5672	0.0	0.0
2050	0.0	0.0
2053	0.0	0.0
5671	0.0	0.0
2055	0.0	0.0
5674	0.0	0.0
5670	0.0	0.0
2059	0.0	0.0
2060	0.0	0.0
4743	0.0	0.0
2062	0.0	0.0
2063	0.0	0.0
2064	0.0	0.0
5667	0.0	0.0
4745	0.0	0.0
5669	0.0	0.0
3652	0.0	0.0
5675	0.0	0.0
5676	0.0	0.0
5695	0.0	0.0
4737	0.0	0.0
2019	0.0	0.0
5690	0.0	0.0
2023	0.0	0.0
5685	0.0	0.0
2026	0.0	0.0
3666	0.0	0.0
2043	0.0	0.0
4738	0.0	0.0
3662	0.0	0.0
3661	0.0	0.0
2033	0.0	0.0
3659	0.0	0.0
5678	0.0	0.0
5677	0.0	0.0
3658	0.0	0.0
2040	0.0	0.0
5682	0.0	0.0
5698	0.0	0.0
2071	0.0	0.0
3650	0.0	0.0
2102	0.0	0.0
5650	0.0	0.0
2104	0.0	0.0
2105	0.0	0.0
5649	0.0	0.0
5646	0.0	0.0
2108	0.0	0.0
2111	0.0	0.0
2100	0.0	0.0
3641	0.0	0.0
5642	0.0	0.0
2116	0.0	0.0
2117	0.0	0.0
4751	0.0	0.0
4752	0.0	0.0
5636	0.0	0.0
5634	0.0	0.0
2126	0.0	0.0
2114	0.0	0.0
2072	0.0	0.0
2098	0.0	0.0
2096	0.0	0.0
2074	0.0	0.0
2075	0.0	0.0
2076	0.0	0.0
3649	0.0	0.0
4746	0.0	0.0
5662	0.0	0.0
5661	0.0	0.0
2081	0.0	0.0
5654	0.0	0.0
2082	0.0	0.0
2084	0.0	0.0
2086	0.0	0.0
2088	0.0	0.0
3647	0.0	0.0
2090	0.0	0.0
4747	0.0	0.0
3645	0.0	0.0
5655	0.0	0.0
2083	0.0	0.0
2128	0.0	0.0
5700	0.0	0.0
2012	0.0	0.0
3693	0.0	0.0
1927	0.0	0.0
1928	0.0	0.0
3692	0.0	0.0
1931	0.0	0.0
1932	0.0	0.0
1934	0.0	0.0
3691	0.0	0.0
5743	0.0	0.0
1936	0.0	0.0
3690	0.0	0.0
1941	0.0	0.0
4720	0.0	0.0
1943	0.0	0.0
5734	0.0	0.0
4722	0.0	0.0
4728	0.0	0.0
1950	0.0	0.0
5740	0.0	0.0
1951	0.0	0.0
5744	0.0	0.0
1919	0.0	0.0
1885	0.0	0.0
1887	0.0	0.0
5768	0.0	0.0
5767	0.0	0.0
1892	0.0	0.0
1894	0.0	0.0
4704	0.0	0.0
5766	0.0	0.0
5745	0.0	0.0
1897	0.0	0.0
3707	0.0	0.0
3706	0.0	0.0
1905	0.0	0.0
1911	0.0	0.0
1913	0.0	0.0
1915	0.0	0.0
4714	0.0	0.0
4717	0.0	0.0
1899	0.0	0.0
2013	0.0	0.0
1952	0.0	0.0
4729	0.0	0.0
5710	0.0	0.0
5708	0.0	0.0
5706	0.0	0.0
1989	0.0	0.0
1991	0.0	0.0
1992	0.0	0.0
1993	0.0	0.0
5703	0.0	0.0
1985	0.0	0.0
1995	0.0	0.0
1998	0.0	0.0
1999	0.0	0.0
2000	0.0	0.0
2003	0.0	0.0
2005	0.0	0.0
2008	0.0	0.0
2010	0.0	0.0
2011	0.0	0.0
1997	0.0	0.0
1954	0.0	0.0
1984	0.0	0.0
1981	0.0	0.0
1958	0.0	0.0
4730	0.0	0.0
1960	0.0	0.0
5727	0.0	0.0
3676	0.0	0.0
3674	0.0	0.0
1966	0.0	0.0
1968	0.0	0.0
5712	0.0	0.0
5724	0.0	0.0
1971	0.0	0.0
5721	0.0	0.0
1974	0.0	0.0
5719	0.0	0.0
1977	0.0	0.0
1978	0.0	0.0
5714	0.0	0.0
1980	0.0	0.0
1970	0.0	0.0
3637	0.0	0.0
2131	0.0	0.0
2132	0.0	0.0
2289	0.0	0.0
2290	0.0	0.0
4781	0.0	0.0
2296	0.0	0.0
3580	0.0	0.0
5531	0.0	0.0
5528	0.0	0.0
5527	0.0	0.0
5535	0.0	0.0
4783	0.0	0.0
4785	0.0	0.0
2305	0.0	0.0
2307	0.0	0.0
5521	0.0	0.0
2309	0.0	0.0
2311	0.0	0.0
2314	0.0	0.0
3575	0.0	0.0
5524	0.0	0.0
2316	0.0	0.0
3582	0.0	0.0
3583	0.0	0.0
3594	0.0	0.0
3593	0.0	0.0
5547	0.0	0.0
2267	0.0	0.0
2268	0.0	0.0
5544	0.0	0.0
3590	0.0	0.0
2271	0.0	0.0
5536	0.0	0.0
5543	0.0	0.0
3588	0.0	0.0
2275	0.0	0.0
3587	0.0	0.0
2277	0.0	0.0
5537	0.0	0.0
2282	0.0	0.0
4778	0.0	0.0
2284	0.0	0.0
