"id" "baseMean" "baseMeanA" "baseMeanB" "foldChange" "log2FoldChange" "DESeq_pval" "DESeq_padj" "samples" "DGEClust_pval" "DGEClust_padj"
"1" "cluster_4" 395.952357193316 556.514744969308 235.389969417323 0.42297166704955 -1.2413670678923 0.00180238370845457 0.00355917592344064 "KRAUS_WILD" 0.359330083739533 0.0428947247582362
"2" "cluster_12" 666.679532652092 1150.27568054524 183.083384758941 0.159164787933409 -2.65140689149773 9.66611260677136e-22 1.58677820502747e-20 "KRAUS_WILD" 0 0
"3" "cluster_14" 2705.8969011316 1932.39744891564 3479.39635334756 1.80055938042146 0.848445178771145 0.00475049445440455 0.00869644972294068 "KRAUS_WILD" 0.0084989376327959 0.000610676886400101
"4" "cluster_15" 502.527657949103 829.710647274826 175.344668623381 0.211332311088569 -2.24241473375024 5.59960402932861e-11 3.06886255148696e-10 "KRAUS_WILD" 0.00662417197850269 0.000448853629604615
"7" "cluster_18" 52.2978114979323 73.0448736617429 31.5507493341217 0.431936530963519 -1.21110875747841 8.41975980855955e-05 0.000204554745556499 "KRAUS_WILD" 0.161229846269216 0.0154804433955895
"8" "cluster_19" 2349.18825310739 1396.38532463652 3301.99118157826 2.36467049840829 1.24163916731491 0.00174761735209102 0.00345685797178814 "KRAUS_WILD" 0.00599925009373828 0.000395122905781437
"10" "cluster_23" 377.257793842775 624.330082915587 130.185504769963 0.20852031374494 -2.2617401591237 0.000603135558074093 0.00128335264416371 "KRAUS_WILD" 0.106236720409949 0.010058365466465
"11" "cluster_25" 10.4136480775916 2.16201590032957 18.6652802548536 8.63327612530896 3.1099081321545 0.0001230566042952 0.000290913762374857 "KRAUS_WILD" 0.000249968753905762 2.07296094460684e-06
"13" "cluster_27" 637.927370424776 351.016265559951 924.8384752896 2.63474535521672 1.39766353396169 1.43490999483535e-07 5.15686834972539e-07 "KRAUS_WILD" 0 0
"14" "cluster_30" 20419.1406656237 4566.4465128987 36271.8348183486 7.94312048020112 2.9897058860713 5.45770733629912e-13 3.7447120844568e-12 "KRAUS_WILD" 0 0
"15" "cluster_31" 462.918440242585 557.064842250989 368.77203823418 0.661991226630001 -0.595115997766142 0.0453277874473011 0.0679771685388981 "KRAUS_WILD" 0.348081489813773 0.0414776067302157
"16" "cluster_33" 963.148611965679 1623.51613163454 302.781092296823 0.186497125835138 -2.42277469805481 1.67595853352251e-12 1.09030413486381e-11 "KRAUS_WILD" 0 0
"17" "cluster_36" 79.1177520571878 147.774207095496 10.4612970188791 0.0707924422299125 -3.8202608427353 0.00659530139307484 0.0117521145289738 "KRAUS_WILD" 0.346956630421197 0.0412778652940417
"18" "cluster_40" 613.578065662904 978.141592175383 249.014539150425 0.254579235912683 -1.97381334048477 9.48189983445326e-15 7.67509541899408e-14 "KRAUS_WILD" 0 0
"19" "cluster_41" 443.441651061236 323.529813988001 563.353488134472 1.74127225305847 0.800141790254783 0.00111883995862126 0.00228052496352566 "KRAUS_WILD" 0.00462442194725659 0.000262712430742933
"23" "cluster_45" 9.15116920540461 13.8889370811708 4.41340132963842 0.317763793143081 -1.65397334537001 0.00228671583663857 0.00443335139851616 "KRAUS_WILD" 0.460567429071366 0.0592763427848987
"29" "cluster_53" 443.02684121708 305.197876147298 580.855806286861 1.90321051253489 0.92843514573869 0.000586200061803982 0.00124996711205911 "KRAUS_WILD" 0 0
"30" "cluster_55" 1175.8557517513 1645.36761587595 706.34388762664 0.42929244553692 -1.21996730966817 3.4857232568028e-06 1.03118701483354e-05 "KRAUS_WILD" 0 0
"31" "cluster_56" 341.306088563286 499.954566477523 182.657610649049 0.365348419429351 -1.45265512891939 4.95791504318584e-05 0.000124630808921015 "KRAUS_WILD" 0.168728908886389 0.0162081004158458
"34" "cluster_61" 649.460397390274 387.727567251014 911.193227529533 2.3500862577038 1.23271371052546 0.000302790293908861 0.000674938009201669 "KRAUS_WILD" 0.0199975003124609 0.00160985974314186
"35" "cluster_62" 87.3518956524597 160.255489925567 14.4483013793524 0.0901579183718644 -3.47140198381713 9.22703497382328e-25 2.03226168420321e-23 "KRAUS_WILD" 0 0
"38" "cluster_67" 1017.23668289224 671.144451535425 1363.32891424906 2.03134945261049 1.0224384475026 0.000218110709406154 0.000497708945855031 "KRAUS_WILD" 0 0
"40" "cluster_72" 562.723498656833 29.0594892919611 1096.38750802171 37.7290700812489 5.23760463697274 8.38443349431926e-32 3.38557642132685e-30 "KRAUS_WILD" 0 0
"41" "cluster_73" 354.704071452245 512.822291214702 196.585851689788 0.383341081418561 -1.38329947952237 4.05656149505291e-07 1.3775447590257e-06 "KRAUS_WILD" 0 0
"43" "cluster_75" 1997.26260949095 1459.35030142086 2535.17491756105 1.73719422615169 0.796759062880172 0.00793751173950933 0.0138936117293953 "KRAUS_WILD" 0.00387451568553931 0.000197776986669831
"47" "cluster_80" 204.451623502919 360.591000588797 48.3122464170399 0.13398073257001 -2.89990254960963 5.74136484792997e-23 1.08146995768246e-21 "KRAUS_WILD" 0 0
"50" "cluster_86" 73.8528566249147 47.4803395570155 100.225373692814 2.11088156967498 1.0778456390188 0.0654975297761487 0.0942810170471667 "KRAUS_WILD" 0.0134983127109111 0.00101541875793445
"55" "cluster_94" 553.628105246958 274.16825686782 833.087953626096 3.03860105157155 1.60340727087819 0.000156733146765499 0.000365242815646565 "KRAUS_WILD" 0.000874890638670166 2.60102622307347e-05
"60" "cluster_104" 941.254074922539 247.658439570046 1634.84971027503 6.60122753382947 2.72273432633451 0.00327793475140219 0.00619773131414203 "KRAUS_WILD" 0 0
"61" "cluster_106" 6277.06528462972 3218.63729325901 9335.49327600044 2.90044898676603 1.53627624535833 9.32467639872687e-10 4.3969917031849e-09 "KRAUS_WILD" 0 0
"62" "cluster_107" 328.771658996565 642.722776091995 14.8205419011354 0.0230589959659592 -5.4385264931973 6.57250893990789e-14 4.93887142372116e-13 "KRAUS_WILD" 0.629046369203849 0.0970185438678093
"64" "cluster_112" 602.479736530999 392.389893943175 812.569579118823 2.07082188318667 1.05020346891611 1.18524633899149e-05 3.28114293843744e-05 "KRAUS_WILD" 0.00862392200974878 0.000623767675478559
"65" "cluster_114" 852.154438596345 1257.33383404284 446.97504314985 0.35549432541129 -1.49210156392124 1.68823154944476e-08 6.73184725675306e-08 "KRAUS_WILD" 0 0
"67" "cluster_117" 727.167399915961 385.181756750259 1069.15304308166 2.77571049081349 1.472857101328 1.23197374250403e-08 5.02662457307395e-08 "KRAUS_WILD" 0 0
"68" "cluster_119" 220.009755381246 89.9885958438837 350.030914918607 3.88972526614213 1.95966826030878 0.00214683736873763 0.00418177969302761 "KRAUS_WILD" 0.011498562679665 0.000875372274034146
"69" "cluster_125" 21.4497254767251 14.6709682370583 28.228482716392 1.92410495750976 0.944187498457655 0.0172282794851957 0.0282421585774579 "KRAUS_WILD" 0.209848768903887 0.021408143557527
"70" "cluster_126" 451.65997520626 345.545067260754 557.774883151766 1.61418852705213 0.690809086149385 0.0137304634774393 0.0229855221330684 "KRAUS_WILD" 0 0
"71" "cluster_127" 467.833130272067 750.174325140452 185.491935403683 0.247265107838707 -2.01586942288942 4.28735782753486e-13 2.97070770180078e-12 "KRAUS_WILD" 0 0
"72" "cluster_128" 4768.31808711541 828.312988654229 8708.3231855766 10.5133244375718 3.3941470335708 3.2763687514844e-21 5.1155037439843e-20 "KRAUS_WILD" 0 0
"73" "cluster_129" 181.652680670366 314.334677461111 48.9706838796205 0.155791541280644 -2.68231119065179 9.97401455735264e-08 3.65748571398537e-07 "KRAUS_WILD" 0.413948256467942 0.0510357452675709
"74" "cluster_130" 850.935821975454 1234.28306328407 467.588580666836 0.37883415447889 -1.40036168943472 1.6336207202483e-07 5.83222519332548e-07 "KRAUS_WILD" 0.0406199225096863 0.00346897296554569
"77" "cluster_134" 179.356976465356 36.6696729891462 322.044279941565 8.78230574995545 3.13459976177783 1.07423452477994e-24 2.32232977572427e-23 "KRAUS_WILD" 0 0
"78" "cluster_135" 11283.0391561248 22378.6608778661 187.417434383413 0.00837482794016422 -6.89972473389646 6.1180302956905e-101 8.59705617150429e-98 "KRAUS_WILD" 0.627671541057368 0.0966122068679876
"79" "cluster_143" 5255.24485691921 1471.02844247507 9039.46127136335 6.14499421653197 2.61941165278108 8.09482087035292e-12 4.85274841596413e-11 "KRAUS_WILD" 0 0
"80" "cluster_144" 663.51202170684 101.324889076101 1225.69915433758 12.0967233767905 3.59654441443532 0.00032519370876521 0.000720760567124406 "KRAUS_WILD" 0.0113735783027122 0.000851559148926789
"81" "cluster_149" 435.907953415255 609.864321061176 261.951585769334 0.429524365868023 -1.21918812063681 9.91496235402197e-06 2.77098351230543e-05 "KRAUS_WILD" 0 0
"82" "cluster_150" 3802.88778192679 314.64104788042 7291.13451597315 23.1728649681594 4.53436451715818 1.04731150683513e-06 3.33866181806879e-06 "KRAUS_WILD" 0 0
"84" "cluster_154" 68.0008466272103 130.477742814379 5.52395044004184 0.0423363427423815 -4.56195954337022 2.10211312166131e-32 8.58688767022812e-31 "KRAUS_WILD" 0.452818397700287 0.0580402491199601
"86" "cluster_156" 233.202988156037 171.892954633653 294.513021678422 1.71335132557413 0.776821008803216 0.0273302654609773 0.0429388294116339 "KRAUS_WILD" 0.221722284714411 0.0230050191094534
"89" "cluster_162" 476.673753357107 118.395768543383 834.951738170832 7.05220928453105 2.81807528935958 1.62654821377111e-16 1.59166124651195e-15 "KRAUS_WILD" 0 0
"90" "cluster_163" 635.917159879566 825.873832300567 445.960487458564 0.539986218253567 -0.889005508187108 0.000996918266366619 0.00204865391620119 "KRAUS_WILD" 0.396825396825397 0.04793378754719
"92" "cluster_169" 236.190712078223 107.876317696467 364.505106459979 3.3789168396125 1.75656084397463 5.26019098183327e-10 2.54707800402209e-09 "KRAUS_WILD" 0 0
"94" "cluster_175" 5362.65370614519 2267.39738917039 8457.91002312 3.73022835058245 1.89926394956071 5.27438532795477e-12 3.21403567339204e-11 "KRAUS_WILD" 0 0
"95" "cluster_176" 266.430720127388 465.78267704738 67.0787632073947 0.1440130054484 -2.79572899121511 6.46422592089557e-08 2.42227473707799e-07 "KRAUS_WILD" 0.45206849143857 0.0577943852553218
"97" "cluster_178" 344.800878914726 421.417522959177 268.184234870275 0.636386054825381 -0.652025872755008 0.0133534039814877 0.0224130473898549 "KRAUS_WILD" 0.0522434695663042 0.00455236480438561
"99" "cluster_185" 2169.93372516917 1148.87360261439 3190.99384772394 2.77749775124302 1.47378574355969 7.66226412432359e-05 0.000187317563456846 "KRAUS_WILD" 0.00149981252343457 5.054167926666e-05
"100" "cluster_186" 609.040195521663 459.270440545182 758.809950498144 1.65220724764561 0.724394665206071 0.0014837024250336 0.00296318739007562 "KRAUS_WILD" 0.0296212973378328 0.00258998847787739
"103" "cluster_194" 1588.19294277283 1232.54453290386 1943.8413526418 1.57709624338045 0.657270704269772 0.0508010647077228 0.075126979717209 "KRAUS_WILD" 0.00699912510936133 0.000474477727321121
"104" "cluster_198" 263.381347735369 340.029092294831 186.733603175907 0.54916948992704 -0.864676618626033 0.00591830852969766 0.010618497377338 "KRAUS_WILD" 0.245219347581552 0.026063679568869
"105" "cluster_202" 221.431147267162 119.212297547138 323.649996987187 2.71490444900797 1.4409014233084 1.31210950530516e-06 4.13588218226742e-06 "KRAUS_WILD" 0 0
"107" "cluster_205" 374.35711797459 229.752322963796 518.961912985383 2.25878853493533 1.17554921367909 2.73439687189305e-06 8.22074130163483e-06 "KRAUS_WILD" 0 0
"108" "cluster_206" 529.326776243088 805.124355290237 253.529197195939 0.314894457645049 -1.66705972959686 1.61908353245165e-10 8.32773125842261e-10 "KRAUS_WILD" 0.000624921884764404 1.42139095358178e-05
"109" "cluster_207" 25.7031165613047 11.7016309806962 39.7046021419132 3.39308274268884 1.76259661160249 0.053399773279521 0.0785323774740772 "KRAUS_WILD" 0.218472690913636 0.0224504249893933
"110" "cluster_209" 3453.00712590059 2867.76635910397 4038.24789269721 1.40815093945064 0.493801984490618 0.0322456812964313 0.0498039474145365 "KRAUS_WILD" 0.123609548806399 0.0119323504556906
"111" "cluster_211" 943.309308121392 227.35412962229 1659.26448662049 7.29814976036317 2.867530755789 3.43649971314213e-25 7.96859636453352e-24 "KRAUS_WILD" 0 0
"112" "cluster_212" 3339.99625019173 1445.95186439537 5234.04063598809 3.61978898804955 1.85590559930644 0.000296816422311903 0.000662673080128195 "KRAUS_WILD" 0 0
"114" "cluster_216" 419.180142387843 621.053685229511 217.306599546175 0.349899863271673 -1.51498599406301 3.85768794824597e-09 1.68557932365524e-08 "KRAUS_WILD" 0 0
"116" "cluster_221" 431.242575696322 582.236154773038 280.248996619607 0.481332178227322 -1.05489522068661 2.25409064423451e-05 5.97631730807233e-05 "KRAUS_WILD" 0.387326584176978 0.0463106617779485
"118" "cluster_235" 232.537995284762 179.567029889522 285.508960680001 1.58998542692196 0.669013542488395 0.0154897648086467 0.0256520732058684 "KRAUS_WILD" 0 0
"119" "cluster_236" 228.260377199193 364.845496193088 91.6752582052986 0.251271453702641 -1.99268131519656 1.4075407149781e-12 9.25105805747062e-12 "KRAUS_WILD" 0.000749906261717285 1.95576954204197e-05
"121" "cluster_238" 347.800039690955 444.530008799541 251.07007058237 0.564798923835059 -0.824190755179301 0.00600700322933594 0.0107611434699934 "KRAUS_WILD" 0.0518685164354456 0.00452598506881461
"123" "cluster_245" 506.300340240387 802.497344137847 210.103336342928 0.26181187748185 -1.93339754613184 9.47192142710343e-14 6.91066666114525e-13 "KRAUS_WILD" 0 0
"124" "cluster_246" 1988.07781599586 1300.91606798339 2675.23956400833 2.05642748971143 1.04014020284826 4.72393321353541e-05 0.000119218228298491 "KRAUS_WILD" 0 0
"126" "cluster_248" 25516.965437192 39546.9021433922 11487.0287309918 0.29046595582484 -1.78355901298167 6.31115829923635e-05 0.00015640987023081 "KRAUS_WILD" 0.00512435945506812 0.000309014442913678
"127" "cluster_249" 3192.86213894046 4711.11601016647 1674.60826771444 0.355458932469648 -1.49224520549223 0.00136421597041981 0.00274405422507003 "KRAUS_WILD" 0.005249343832021 0.000317437813348123
"128" "cluster_251" 219.38369801959 100.007175304283 338.760220734896 3.38735915402249 1.76016096063103 8.97812527562713e-07 2.89757961353037e-06 "KRAUS_WILD" 0 0
"130" "cluster_255" 400.160486866597 101.904382013688 698.416591719506 6.85364630959334 2.77687174181887 8.19654490316095e-21 1.23581383024912e-19 "KRAUS_WILD" 0 0
