	Posteriors	FDR
892	0.013498312710911136	0.013498312710911136
4288	0.014373203349581302	0.013935758030246218
2382	0.015123109611298587	0.014331541890597007
5678	0.016247969003874516	0.014810648668916383
6506	0.01674790651168604	0.015198100237470313
6367	0.01687289088863892	0.01547723201266508
1601	0.017372828396450445	0.01574803149606299
2188	0.017622797150356206	0.015982377202849642
6248	0.017747781527309086	0.01617853323890069
1290	0.01812273465816773	0.016372953380827393
3515	0.01837270341207349	0.0165547488382134
3915	0.01849768778902637	0.016716660417447817
6549	0.01862267216597925	0.016863276705796387
6579	0.018747656542932135	0.016997875265591798
178	0.018872640919885015	0.017122859642544678
1436	0.01937257842769654	0.017263467066616668
5716	0.01949756280464942	0.017394884462971535
3179	0.01987251593550806	0.017532530655890232
3267	0.020122484689413824	0.017668844026075683
6964	0.020372453443319585	0.017804024496937874
2715	0.020372453443319585	0.017926330637241767
1135	0.020497437820272465	0.018043199145561344
5840	0.020497437820272465	0.01814990517489661
3666	0.02062242219722535	0.01825292671749364
5376	0.02074740657417823	0.018352705911761025
2302	0.02099737532808399	0.018454423966234985
2080	0.02112235970503687	0.018553236401005428
2598	0.02124734408198975	0.01864945453246915
6403	0.021497312835895514	0.018747656542932128
2872	0.021497312835895514	0.018839311752697575
489	0.021747281589801274	0.018933117231313825
2588	0.021747281589801274	0.01902105986751656
6606	0.021997250343707038	0.01911124745770415
3191	0.022122234720659918	0.01919980590661461
6591	0.022122234720659918	0.019283303872730192
4547	0.022122234720659918	0.01936216306295046
4692	0.02249718785151856	0.01944689346264149
4584	0.02249718785151856	0.019527164367611937
5470	0.022622172228471443	0.01960652354353141
1492	0.022622172228471443	0.019681914760654912
6368	0.022747156605424323	0.0197566767568688
1027	0.022997125359330083	0.019833830295022642
4673	0.023122109736282963	0.01991030190993567
5559	0.023122109736282963	0.019983297542352653
2095	0.023247094113235847	0.02005582635503895
1140	0.023372078490188727	0.020127918792759596
719	0.023372078490188727	0.020196943467172983
2231	0.023497062867141608	0.020265695954672328
3632	0.023497062867141608	0.020331642218192107
126	0.023747031621047368	0.020399950006249213
6364	0.023747031621047368	0.020465579057519764
941	0.02387201599800025	0.02053108746022131
1154	0.02387201599800025	0.02059412384772657
4582	0.024246969128858892	0.0206617691307105
2352	0.024371953505811773	0.020729227028439618
2998	0.024371953505811773	0.02079427571553555
2110	0.024496937882764653	0.020859234700925534
864	0.024621922259717537	0.02092410862435298
5477	0.024621922259717537	0.02098678343173204
4457	0.024621922259717537	0.02104736907886513
4297	0.024746906636670417	0.02110801723555046
4455	0.024746906636670417	0.021166709000084653
5799	0.024871891013623297	0.021225521412997963
1190	0.024871891013623297	0.021282495938007732
3516	0.024996875390576177	0.021339640237278017
3297	0.024996875390576177	0.02139505289111587
3446	0.024996875390576177	0.021448811435883935
5759	0.024996875390576177	0.02150098884698235
3988	0.02524684414448194	0.02155527660491713
961	0.02524684414448194	0.02160801328405377
5683	0.02537182852143482	0.021661024766270406
3716	0.02537182852143482	0.021712563707314354
3230	0.02537182852143482	0.02176269062257628
4373	0.02537182852143482	0.021811462756344636
412	0.0254968128983877	0.021860600758238546
2895	0.0254968128983877	0.021908445654819454
3146	0.025621797275340582	0.02195667100054051
1993	0.025746781652293462	0.022005262162742466
5144	0.025871766029246346	0.022054205249660237
1881	0.025871766029246346	0.02210192475940506
3935	0.025871766029246346	0.022148466009650015
1043	0.025996750406199226	0.022195396307168908
1189	0.025996750406199226	0.02224119575414518
4608	0.026121734783152106	0.022287392647347644
5553	0.026246719160104987	0.022333972959262434
1233	0.026246719160104987	0.022379470008109442
5423	0.026246719160104987	0.022423921147787552
3735	0.026246719160104987	0.022467362034291158
3013	0.026371703537057867	0.022511231039940224
1485	0.026371703537057867	0.02255412517879709
1627	0.026371703537057867	0.02259607658932743
1936	0.026371703537057867	0.022637116012672327
396	0.026496687914010747	0.022678616785805
4863	0.02674665666791651	0.022721893805827464
2863	0.02687164104486939	0.02276557535571212
4104	0.02699662542182227	0.022809648793900766
1589	0.02699662542182227	0.02285281350140511
847	0.02712160979877515	0.022896372647296645
2424	0.02712160979877515	0.022939051810442892
4778	0.02712160979877515	0.022980877390326216
3674	0.027496562929633796	0.023025587148141142
5699	0.027496562929633796	0.023069420244038127
3117	0.027621547306586676	0.023113615652412385
374	0.027746531683539556	0.023158162921942452
2690	0.027746531683539556	0.0232018616720529
2918	0.027746531683539556	0.023244735917444283
2427	0.02787151606049244	0.02328797685336062
1990	0.02799650043744532	0.023331574293953997
5523	0.02799650043744532	0.02337437178150896
1124	0.02799650043744532	0.023416391132926564
5421	0.0281214848143982	0.02345877936429117
4168	0.02824646919135108	0.023501526594889917
5485	0.02837145356830396	0.02354462329376969
1004	0.02837145356830396	0.023586963910212973
1843	0.028496437945256844	0.023629654988778576
920	0.028496437945256844	0.02367161001426546
4061	0.028496437945256844	0.023712847859829488
5098	0.028621422322209725	0.02375444594849373
2172	0.028871391076115485	0.02379744548738131
6285	0.028871391076115485	0.023839728367287427
5679	0.028996375453068365	0.023882345285351735
4622	0.028996375453068365	0.023924263565414983
4012	0.029121359830021246	0.023966516380574385
6947	0.029121359830021246	0.024008087698715087
4941	0.029121359830021246	0.024048993875765538
653	0.02924634420697413	0.024090242687917984
5106	0.02924634420697413	0.024130841912477483
100	0.02924634420697413	0.024170806774153238
5414	0.02924634420697413	0.024210152025570454
1877	0.02937132858392701	0.024249853383711658
784	0.02949631296087989	0.024289902693461034
3293	0.02949631296087989	0.024329345195486934
4328	0.02962129733783277	0.02436913430933916
4128	0.02974628171478565	0.024409262275051444
762	0.02974628171478565	0.024448795752382808
5787	0.029871266091738534	0.024488666857819245
1784	0.029996250468691414	0.02452886819804459
4897	0.029996250468691414	0.024568486910150723
2654	0.030121234845644294	0.024608434737024776
5117	0.030121234845644294	0.02464781188065777
4786	0.030121234845644294	0.02468663048324633
4943	0.030121234845644294	0.024724902344953354
561	0.030246219222597175	0.024763512952489325
6138	0.030246219222597175	0.024801587301587293
4275	0.030246219222597175	0.02483913648724943
2225	0.030246219222597175	0.024876171300505234
3027	0.030371203599550055	0.02491355247260758
5057	0.03049618797650294	0.024951272982769036
281	0.03049618797650294	0.024988487177357858
3581	0.03062117235345582	0.025026038411865178
2493	0.03062117235345582	0.025063092279028032
1280	0.03062117235345582	0.02509965859530716
333	0.0307461567304087	0.025136563811876452
1512	0.0307461567304087	0.025172989739918872
1713	0.0307461567304087	0.02520894565598655
815	0.0307461567304087	0.025244440598771307
957	0.03087114110736158	0.02528027945551392
2361	0.03087114110736158	0.02531566465584207
3774	0.03087114110736158	0.02535060475931075
1994	0.03087114110736158	0.025385108111486067
2262	0.03087114110736158	0.025419182850590884
5965	0.03099612548431446	0.025453608422403993
5474	0.03099612548431446	0.02548761159456295
7008	0.031121109861267343	0.025521962193750174
2486	0.031121109861267343	0.025555896422038156
3424	0.031121109861267343	0.02558942180420219
2258	0.031371078615173104	0.025624042503669082
2928	0.031371078615173104	0.025658251051951842
2904	0.031371078615173104	0.025692054765343683
