	pval	padj
0	0.0	0.0
3875	0.0	0.0
3885	0.0	0.0
3886	0.0	0.0
3888	0.0	0.0
3893	0.0	0.0
3896	0.0	0.0
3902	0.0	0.0
3903	0.0	0.0
3909	0.0	0.0
3910	0.0	0.0
3911	0.0	0.0
3912	0.0	0.0
3913	0.0	0.0
3914	0.0	0.0
3918	0.0	0.0
3920	0.0	0.0
3921	0.0	0.0
3951	0.0	0.0
3947	0.0	0.0
3945	0.0	0.0
3944	0.0	0.0
3943	0.0	0.0
3942	0.0	0.0
3873	0.0	0.0
3940	0.0	0.0
3938	0.0	0.0
3937	0.0	0.0
3936	0.0	0.0
3932	0.0	0.0
3930	0.0	0.0
3922	0.0	0.0
3939	0.0	0.0
3868	0.0	0.0
3866	0.0	0.0
3865	0.0	0.0
3829	0.0	0.0
3828	0.0	0.0
3827	0.0	0.0
3824	0.0	0.0
3822	0.0	0.0
3819	0.0	0.0
3831	0.0	0.0
3815	0.0	0.0
3813	0.0	0.0
3811	0.0	0.0
3809	0.0	0.0
3808	0.0	0.0
3805	0.0	0.0
3802	0.0	0.0
3814	0.0	0.0
3952	0.0	0.0
3832	0.0	0.0
3834	0.0	0.0
3863	0.0	0.0
3862	0.0	0.0
3860	0.0	0.0
3858	0.0	0.0
3851	0.0	0.0
3849	0.0	0.0
3833	0.0	0.0
3847	0.0	0.0
3845	0.0	0.0
3843	0.0	0.0
3842	0.0	0.0
3837	0.0	0.0
3836	0.0	0.0
3835	0.0	0.0
3846	0.0	0.0
3801	0.0	0.0
3954	0.0	0.0
3962	0.0	0.0
4053	0.0	0.0
4058	0.0	0.0
4069	0.0	0.0
4072	0.0	0.0
4073	0.0	0.0
4075	0.0	0.0
4077	0.0	0.0
4079	0.0	0.0
4080	0.0	0.0
4081	0.0	0.0
4082	0.0	0.0
4084	0.0	0.0
4085	0.0	0.0
4086	0.0	0.0
4088	0.0	0.0
4089	0.0	0.0
4090	0.0	0.0
4129	0.0	0.0
4126	0.0	0.0
4124	0.0	0.0
4118	0.0	0.0
4117	0.0	0.0
4116	0.0	0.0
4052	0.0	0.0
4115	0.0	0.0
4111	0.0	0.0
4109	0.0	0.0
4107	0.0	0.0
4102	0.0	0.0
4095	0.0	0.0
4092	0.0	0.0
4113	0.0	0.0
4050	0.0	0.0
4049	0.0	0.0
4048	0.0	0.0
4001	0.0	0.0
3999	0.0	0.0
3998	0.0	0.0
3996	0.0	0.0
3995	0.0	0.0
3994	0.0	0.0
4003	0.0	0.0
3991	0.0	0.0
3975	0.0	0.0
3973	0.0	0.0
3972	0.0	0.0
3971	0.0	0.0
3967	0.0	0.0
3964	0.0	0.0
3990	0.0	0.0
3961	0.0	0.0
4004	0.0	0.0
4007	0.0	0.0
4046	0.0	0.0
4044	0.0	0.0
4041	0.0	0.0
4037	0.0	0.0
4036	0.0	0.0
4034	0.0	0.0
4005	0.0	0.0
4031	0.0	0.0
4029	0.0	0.0
4026	0.0	0.0
4025	0.0	0.0
4021	0.0	0.0
4015	0.0	0.0
4008	0.0	0.0
4030	0.0	0.0
4134	0.0	0.0
3800	0.0	0.0
3794	0.0	0.0
3582	0.0	0.0
3583	0.0	0.0
3590	0.0	0.0
3592	0.0	0.0
3594	0.0	0.0
3599	0.0	0.0
3601	0.0	0.0
3602	0.0	0.0
3603	0.0	0.0
3605	0.0	0.0
3606	0.0	0.0
3607	0.0	0.0
3610	0.0	0.0
3611	0.0	0.0
3613	0.0	0.0
3614	0.0	0.0
3616	0.0	0.0
3656	0.0	0.0
3653	0.0	0.0
3647	0.0	0.0
3645	0.0	0.0
3643	0.0	0.0
3639	0.0	0.0
3579	0.0	0.0
3637	0.0	0.0
