	pval	padj
3512	0.0	0.0
4019	0.0	0.0
4017	0.0	0.0
4016	0.0	0.0
4015	0.0	0.0
4014	0.0	0.0
4012	0.0	0.0
4011	0.0	0.0
4010	0.0	0.0
4009	0.0	0.0
4008	0.0	0.0
4006	0.0	0.0
4004	0.0	0.0
4003	0.0	0.0
4002	0.0	0.0
4001	0.0	0.0
4021	0.0	0.0
3999	0.0	0.0
4023	0.0	0.0
4029	0.0	0.0
4057	0.0	0.0
4052	0.0	0.0
4051	0.0	0.0
4050	0.0	0.0
4047	0.0	0.0
4044	0.0	0.0
4042	0.0	0.0
4041	0.0	0.0
4040	0.0	0.0
4039	0.0	0.0
4038	0.0	0.0
4037	0.0	0.0
4036	0.0	0.0
4032	0.0	0.0
4030	0.0	0.0
4028	0.0	0.0
4058	0.0	0.0
3997	0.0	0.0
3995	0.0	0.0
3943	0.0	0.0
3941	0.0	0.0
3940	0.0	0.0
3939	0.0	0.0
3938	0.0	0.0
3937	0.0	0.0
3935	0.0	0.0
3930	0.0	0.0
3929	0.0	0.0
3927	0.0	0.0
3926	0.0	0.0
3924	0.0	0.0
3922	0.0	0.0
3921	0.0	0.0
3919	0.0	0.0
3944	0.0	0.0
3996	0.0	0.0
3945	0.0	0.0
3947	0.0	0.0
3988	0.0	0.0
3985	0.0	0.0
3978	0.0	0.0
3976	0.0	0.0
3975	0.0	0.0
3974	0.0	0.0
3973	0.0	0.0
3972	0.0	0.0
3970	0.0	0.0
3968	0.0	0.0
3967	0.0	0.0
3963	0.0	0.0
3962	0.0	0.0
3957	0.0	0.0
3951	0.0	0.0
3946	0.0	0.0
4065	0.0	0.0
4069	0.0	0.0
4071	0.0	0.0
4178	0.0	0.0
4176	0.0	0.0
4175	0.0	0.0
4174	0.0	0.0
4173	0.0	0.0
4172	0.0	0.0
4171	0.0	0.0
4170	0.0	0.0
4166	0.0	0.0
4165	0.0	0.0
4164	0.0	0.0
4160	0.0	0.0
4157	0.0	0.0
4155	0.0	0.0
4153	0.0	0.0
4179	0.0	0.0
4152	0.0	0.0
4181	0.0	0.0
4184	0.0	0.0
4215	0.0	0.0
4214	0.0	0.0
4211	0.0	0.0
4209	0.0	0.0
4206	0.0	0.0
4203	0.0	0.0
4198	0.0	0.0
4197	0.0	0.0
4195	0.0	0.0
4194	0.0	0.0
4193	0.0	0.0
4192	0.0	0.0
4191	0.0	0.0
4190	0.0	0.0
4189	0.0	0.0
4183	0.0	0.0
4150	0.0	0.0
4145	0.0	0.0
4141	0.0	0.0
4098	0.0	0.0
4096	0.0	0.0
4095	0.0	0.0
4092	0.0	0.0
4090	0.0	0.0
4087	0.0	0.0
4086	0.0	0.0
4085	0.0	0.0
4083	0.0	0.0
4082	0.0	0.0
4080	0.0	0.0
4079	0.0	0.0
4076	0.0	0.0
4073	0.0	0.0
4072	0.0	0.0
4099	0.0	0.0
4101	0.0	0.0
4102	0.0	0.0
4103	0.0	0.0
4140	0.0	0.0
4139	0.0	0.0
4137	0.0	0.0
4136	0.0	0.0
4132	0.0	0.0
4129	0.0	0.0
4126	0.0	0.0
3918	0.0	0.0
4121	0.0	0.0
4117	0.0	0.0
4114	0.0	0.0
4113	0.0	0.0
4112	0.0	0.0
4111	0.0	0.0
4106	0.0	0.0
4104	0.0	0.0
4120	0.0	0.0
4217	0.0	0.0
3913	0.0	0.0
3911	0.0	0.0
3734	0.0	0.0
3733	0.0	0.0
3732	0.0	0.0
3728	0.0	0.0
3727	0.0	0.0
3725	0.0	0.0
3722	0.0	0.0
3720	0.0	0.0
3718	0.0	0.0
3715	0.0	0.0
3713	0.0	0.0
3712	0.0	0.0
3710	0.0	0.0
3709	0.0	0.0
3707	0.0	0.0
3735	0.0	0.0
3706	0.0	0.0
3737	0.0	0.0
3742	0.0	0.0
3775	0.0	0.0
3773	0.0	0.0
3770	0.0	0.0
3768	0.0	0.0
3767	0.0	0.0
3765	0.0	0.0
3762	0.0	0.0
3761	0.0	0.0
3757	0.0	0.0
3753	0.0	0.0
3748	0.0	0.0
3747	0.0	0.0
3746	0.0	0.0
3744	0.0	0.0
3743	0.0	0.0
3738	0.0	0.0
3780	0.0	0.0
3702	0.0	0.0
3696	0.0	0.0
3659	0.0	0.0
3657	0.0	0.0
3654	0.0	0.0
3653	0.0	0.0
3647	0.0	0.0
3646	0.0	0.0
3645	0.0	0.0
3643	0.0	0.0
3637	0.0	0.0
3636	0.0	0.0
3635	0.0	0.0
3634	0.0	0.0
3628	0.0	0.0
3623	0.0	0.0
3622	0.0	0.0
3661	0.0	0.0
3700	0.0	0.0
3662	0.0	0.0
3667	0.0	0.0
3693	0.0	0.0
3692	0.0	0.0
3691	0.0	0.0
3690	0.0	0.0
3687	0.0	0.0
3686	0.0	0.0
3685	0.0	0.0
3681	0.0	0.0
3680	0.0	0.0
3679	0.0	0.0
3677	0.0	0.0
3676	0.0	0.0
3673	0.0	0.0
3670	0.0	0.0
3668	0.0	0.0
3666	0.0	0.0
3781	0.0	0.0
3782	0.0	0.0
3783	0.0	0.0
3868	0.0	0.0
3866	0.0	0.0
3865	0.0	0.0
3863	0.0	0.0
3862	0.0	0.0
3861	0.0	0.0
3856	0.0	0.0
3853	0.0	0.0
3852	0.0	0.0
3851	0.0	0.0
3850	0.0	0.0
3849	0.0	0.0
3847	0.0	0.0
3845	0.0	0.0
3844	0.0	0.0
3870	0.0	0.0
3843	0.0	0.0
3872	0.0	0.0
3878	0.0	0.0
3910	0.0	0.0
3908	0.0	0.0
3907	0.0	0.0
3904	0.0	0.0
3902	0.0	0.0
3896	0.0	0.0
3895	0.0	0.0
3894	0.0	0.0
3892	0.0	0.0
3887	0.0	0.0
3886	0.0	0.0
3885	0.0	0.0
3883	0.0	0.0
3882	0.0	0.0
3880	0.0	0.0
3874	0.0	0.0
3842	0.0	0.0
3841	0.0	0.0
3836	0.0	0.0
3802	0.0	0.0
3801	0.0	0.0
3800	0.0	0.0
3798	0.0	0.0
3797	0.0	0.0
3796	0.0	0.0
3793	0.0	0.0
3792	0.0	0.0
3791	0.0	0.0
3790	0.0	0.0
3789	0.0	0.0
3788	0.0	0.0
3786	0.0	0.0
3785	0.0	0.0
3784	0.0	0.0
3803	0.0	0.0
3805	0.0	0.0
3806	0.0	0.0
3807	0.0	0.0
3835	0.0	0.0
3834	0.0	0.0
3833	0.0	0.0
3831	0.0	0.0
3830	0.0	0.0
3829	0.0	0.0
3827	0.0	0.0
3912	0.0	0.0
3823	0.0	0.0
3817	0.0	0.0
3815	0.0	0.0
3814	0.0	0.0
3812	0.0	0.0
3811	0.0	0.0
3810	0.0	0.0
3809	0.0	0.0
3822	0.0	0.0
4218	0.0	0.0
4222	0.0	0.0
4223	0.0	0.0
4612	0.0	0.0
4611	0.0	0.0
4607	0.0	0.0
4606	0.0	0.0
4605	0.0	0.0
4604	0.0	0.0
4603	0.0	0.0
4599	0.0	0.0
4595	0.0	0.0
4594	0.0	0.0
4593	0.0	0.0
4589	0.0	0.0
4588	0.0	0.0
4587	0.0	0.0
4586	0.0	0.0
4614	0.0	0.0
4582	0.0	0.0
4615	0.0	0.0
4619	0.0	0.0
4649	0.0	0.0
4648	0.0	0.0
4647	0.0	0.0
4646	0.0	0.0
4643	0.0	0.0
4642	0.0	0.0
4639	0.0	0.0
4638	0.0	0.0
4636	0.0	0.0
4634	0.0	0.0
4632	0.0	0.0
4631	0.0	0.0
4629	0.0	0.0
4627	0.0	0.0
4625	0.0	0.0
4616	0.0	0.0
4650	0.0	0.0
4581	0.0	0.0
4579	0.0	0.0
4546	0.0	0.0
4545	0.0	0.0
4544	0.0	0.0
4543	0.0	0.0
4539	0.0	0.0
4538	0.0	0.0
4536	0.0	0.0
4535	0.0	0.0
4531	0.0	0.0
4529	0.0	0.0
4528	0.0	0.0
4526	0.0	0.0
4525	0.0	0.0
4524	0.0	0.0
4523	0.0	0.0
4548	0.0	0.0
4580	0.0	0.0
4550	0.0	0.0
4553	0.0	0.0
4578	0.0	0.0
4577	0.0	0.0
4573	0.0	0.0
4572	0.0	0.0
4571	0.0	0.0
4570	0.0	0.0
4569	0.0	0.0
4568	0.0	0.0
4567	0.0	0.0
4565	0.0	0.0
4564	0.0	0.0
4563	0.0	0.0
4559	0.0	0.0
4558	0.0	0.0
4557	0.0	0.0
4551	0.0	0.0
4652	0.0	0.0
4654	0.0	0.0
4655	0.0	0.0
4756	0.0	0.0
4755	0.0	0.0
4754	0.0	0.0
4753	0.0	0.0
4752	0.0	0.0
4751	0.0	0.0
4748	0.0	0.0
4746	0.0	0.0
4743	0.0	0.0
4740	0.0	0.0
4739	0.0	0.0
4738	0.0	0.0
4737	0.0	0.0
4736	0.0	0.0
4734	0.0	0.0
4761	0.0	0.0
4731	0.0	0.0
4762	0.0	0.0
4765	0.0	0.0
4800	0.0	0.0
4794	0.0	0.0
4793	0.0	0.0
4792	0.0	0.0
4791	0.0	0.0
4789	0.0	0.0
4787	0.0	0.0
4786	0.0	0.0
4785	0.0	0.0
4780	0.0	0.0
4774	0.0	0.0
4773	0.0	0.0
4772	0.0	0.0
4770	0.0	0.0
4768	0.0	0.0
4763	0.0	0.0
4730	0.0	0.0
4729	0.0	0.0
4728	0.0	0.0
4679	0.0	0.0
4678	0.0	0.0
4675	0.0	0.0
4671	0.0	0.0
4670	0.0	0.0
4669	0.0	0.0
4665	0.0	0.0
4664	0.0	0.0
4663	0.0	0.0
4662	0.0	0.0
4660	0.0	0.0
4659	0.0	0.0
4658	0.0	0.0
4657	0.0	0.0
4656	0.0	0.0
4680	0.0	0.0
4681	0.0	0.0
4688	0.0	0.0
4689	0.0	0.0
4726	0.0	0.0
4723	0.0	0.0
4722	0.0	0.0
4721	0.0	0.0
4719	0.0	0.0
4712	0.0	0.0
4711	0.0	0.0
4522	0.0	0.0
4707	0.0	0.0
4703	0.0	0.0
4702	0.0	0.0
4701	0.0	0.0
4699	0.0	0.0
4698	0.0	0.0
4694	0.0	0.0
4690	0.0	0.0
4705	0.0	0.0
4521	0.0	0.0
4520	0.0	0.0
4519	0.0	0.0
4329	0.0	0.0
4327	0.0	0.0
4326	0.0	0.0
4324	0.0	0.0
4322	0.0	0.0
4321	0.0	0.0
4320	0.0	0.0
4319	0.0	0.0
4318	0.0	0.0
4317	0.0	0.0
4316	0.0	0.0
4313	0.0	0.0
4312	0.0	0.0
4311	0.0	0.0
4309	0.0	0.0
4331	0.0	0.0
4308	0.0	0.0
4332	0.0	0.0
4340	0.0	0.0
4371	0.0	0.0
4368	0.0	0.0
4365	0.0	0.0
4364	0.0	0.0
4362	0.0	0.0
4360	0.0	0.0
4359	0.0	0.0
4356	0.0	0.0
4354	0.0	0.0
4353	0.0	0.0
4349	0.0	0.0
4346	0.0	0.0
4345	0.0	0.0
4344	0.0	0.0
4342	0.0	0.0
4338	0.0	0.0
4307	0.0	0.0
4305	0.0	0.0
4300	0.0	0.0
4258	0.0	0.0
4256	0.0	0.0
4252	0.0	0.0
4250	0.0	0.0
4247	0.0	0.0
4244	0.0	0.0
4243	0.0	0.0
4242	0.0	0.0
4240	0.0	0.0
4239	0.0	0.0
4236	0.0	0.0
4235	0.0	0.0
4233	0.0	0.0
4232	0.0	0.0
4224	0.0	0.0
4259	0.0	0.0
4262	0.0	0.0
4268	0.0	0.0
4269	0.0	0.0
4299	0.0	0.0
4295	0.0	0.0
4294	0.0	0.0
4292	0.0	0.0
4291	0.0	0.0
4289	0.0	0.0
4288	0.0	0.0
4372	0.0	0.0
4287	0.0	0.0
4285	0.0	0.0
4280	0.0	0.0
4279	0.0	0.0
4278	0.0	0.0
4274	0.0	0.0
4273	0.0	0.0
4272	0.0	0.0
4286	0.0	0.0
3621	0.0	0.0
4374	0.0	0.0
4376	0.0	0.0
4482	0.0	0.0
4481	0.0	0.0
4480	0.0	0.0
4478	0.0	0.0
4477	0.0	0.0
4475	0.0	0.0
4474	0.0	0.0
4473	0.0	0.0
4471	0.0	0.0
4470	0.0	0.0
4469	0.0	0.0
4468	0.0	0.0
4467	0.0	0.0
4465	0.0	0.0
4462	0.0	0.0
4484	0.0	0.0
4458	0.0	0.0
4490	0.0	0.0
4493	0.0	0.0
4517	0.0	0.0
4516	0.0	0.0
4515	0.0	0.0
4514	0.0	0.0
4513	0.0	0.0
4512	0.0	0.0
4510	0.0	0.0
4508	0.0	0.0
4507	0.0	0.0
4503	0.0	0.0
4502	0.0	0.0
4501	0.0	0.0
4500	0.0	0.0
4495	0.0	0.0
4494	0.0	0.0
4492	0.0	0.0
4457	0.0	0.0
4456	0.0	0.0
4454	0.0	0.0
4404	0.0	0.0
4403	0.0	0.0
4400	0.0	0.0
4398	0.0	0.0
4397	0.0	0.0
4396	0.0	0.0
4394	0.0	0.0
4390	0.0	0.0
4389	0.0	0.0
4385	0.0	0.0
4384	0.0	0.0
4382	0.0	0.0
4381	0.0	0.0
4379	0.0	0.0
4378	0.0	0.0
4405	0.0	0.0
4409	0.0	0.0
4412	0.0	0.0
4413	0.0	0.0
4451	0.0	0.0
4449	0.0	0.0
4443	0.0	0.0
4442	0.0	0.0
4441	0.0	0.0
4440	0.0	0.0
4439	0.0	0.0
4375	0.0	0.0
4436	0.0	0.0
4426	0.0	0.0
4425	0.0	0.0
4423	0.0	0.0
4422	0.0	0.0
4419	0.0	0.0
4418	0.0	0.0
4414	0.0	0.0
4432	0.0	0.0
3618	0.0	0.0
3617	0.0	0.0
3616	0.0	0.0
2860	0.0	0.0
2858	0.0	0.0
2857	0.0	0.0
2856	0.0	0.0
2854	0.0	0.0
2852	0.0	0.0
2851	0.0	0.0
2846	0.0	0.0
2841	0.0	0.0
2840	0.0	0.0
2839	0.0	0.0
2837	0.0	0.0
2836	0.0	0.0
2833	0.0	0.0
2831	0.0	0.0
2861	0.0	0.0
2830	0.0	0.0
2864	0.0	0.0
2866	0.0	0.0
2890	0.0	0.0
2889	0.0	0.0
2888	0.0	0.0
2887	0.0	0.0
2886	0.0	0.0
2885	0.0	0.0
2884	0.0	0.0
2882	0.0	0.0
2881	0.0	0.0
2880	0.0	0.0
2879	0.0	0.0
2877	0.0	0.0
2876	0.0	0.0
2874	0.0	0.0
2873	0.0	0.0
2865	0.0	0.0
2891	0.0	0.0
2828	0.0	0.0
2826	0.0	0.0
2792	0.0	0.0
2791	0.0	0.0
2788	0.0	0.0
2786	0.0	0.0
2785	0.0	0.0
2783	0.0	0.0
2781	0.0	0.0
2776	0.0	0.0
2774	0.0	0.0
2771	0.0	0.0
2770	0.0	0.0
2769	0.0	0.0
2766	0.0	0.0
2756	0.0	0.0
2752	0.0	0.0
2794	0.0	0.0
2827	0.0	0.0
2795	0.0	0.0
2798	0.0	0.0
2824	0.0	0.0
2823	0.0	0.0
2821	0.0	0.0
