	pval	padj
3512	0.0	0.0
4944	0.0	0.0
2234	0.0	0.0
4936	0.0	0.0
4935	0.0	0.0
2237	0.0	0.0
2238	0.0	0.0
4934	0.0	0.0
2241	0.0	0.0
2242	0.0	0.0
2231	0.0	0.0
2243	0.0	0.0
4927	0.0	0.0
2248	0.0	0.0
2249	0.0	0.0
4926	0.0	0.0
4923	0.0	0.0
4922	0.0	0.0
4921	0.0	0.0
2256	0.0	0.0
2257	0.0	0.0
4930	0.0	0.0
2230	0.0	0.0
4945	0.0	0.0
2227	0.0	0.0
4988	0.0	0.0
2202	0.0	0.0
4981	0.0	0.0
2205	0.0	0.0
4980	0.0	0.0
2207	0.0	0.0
4979	0.0	0.0
4978	0.0	0.0
4972	0.0	0.0
4967	0.0	0.0
4966	0.0	0.0
4963	0.0	0.0
2215	0.0	0.0
4961	0.0	0.0
4960	0.0	0.0
2219	0.0	0.0
4956	0.0	0.0
2221	0.0	0.0
4953	0.0	0.0
2223	0.0	0.0
4947	0.0	0.0
2258	0.0	0.0
4920	0.0	0.0
4919	0.0	0.0
4918	0.0	0.0
2290	0.0	0.0
2291	0.0	0.0
2292	0.0	0.0
2293	0.0	0.0
4896	0.0	0.0
2295	0.0	0.0
4895	0.0	0.0
2298	0.0	0.0
2300	0.0	0.0
2301	0.0	0.0
2302	0.0	0.0
4891	0.0	0.0
2304	0.0	0.0
4890	0.0	0.0
2306	0.0	0.0
4889	0.0	0.0
4887	0.0	0.0
2309	0.0	0.0
4884	0.0	0.0
2311	0.0	0.0
2312	0.0	0.0
2289	0.0	0.0
4989	0.0	0.0
2288	0.0	0.0
2286	0.0	0.0
2262	0.0	0.0
2263	0.0	0.0
2264	0.0	0.0
2265	0.0	0.0
2266	0.0	0.0
2268	0.0	0.0
2270	0.0	0.0
4914	0.0	0.0
2272	0.0	0.0
4913	0.0	0.0
4907	0.0	0.0
4906	0.0	0.0
4905	0.0	0.0
2278	0.0	0.0
2279	0.0	0.0
2280	0.0	0.0
4902	0.0	0.0
2282	0.0	0.0
2283	0.0	0.0
4897	0.0	0.0
2285	0.0	0.0
2287	0.0	0.0
2313	0.0	0.0
4991	0.0	0.0
2197	0.0	0.0
5070	0.0	0.0
5067	0.0	0.0
2115	0.0	0.0
5066	0.0	0.0
2117	0.0	0.0
5065	0.0	0.0
2119	0.0	0.0
5064	0.0	0.0
2121	0.0	0.0
2111	0.0	0.0
5062	0.0	0.0
2124	0.0	0.0
5060	0.0	0.0
2127	0.0	0.0
2128	0.0	0.0
5059	0.0	0.0
5057	0.0	0.0
5055	0.0	0.0
2133	0.0	0.0
2134	0.0	0.0
2123	0.0	0.0
2110	0.0	0.0
5071	0.0	0.0
5072	0.0	0.0
2078	0.0	0.0
2080	0.0	0.0
2082	0.0	0.0
2083	0.0	0.0
2085	0.0	0.0
5098	0.0	0.0
5094	0.0	0.0
5093	0.0	0.0
2089	0.0	0.0
2093	0.0	0.0
5088	0.0	0.0
2095	0.0	0.0
5086	0.0	0.0
5085	0.0	0.0
2099	0.0	0.0
5080	0.0	0.0
2101	0.0	0.0
5077	0.0	0.0
2105	0.0	0.0
5076	0.0	0.0
5075	0.0	0.0
5051	0.0	0.0
2136	0.0	0.0
5050	0.0	0.0
5049	0.0	0.0
5024	0.0	0.0
2172	0.0	0.0
2173	0.0	0.0
2174	0.0	0.0
5023	0.0	0.0
2176	0.0	0.0
2177	0.0	0.0
5021	0.0	0.0
5017	0.0	0.0
5015	0.0	0.0
5012	0.0	0.0
5007	0.0	0.0
5005	0.0	0.0
2188	0.0	0.0
5003	0.0	0.0
5001	0.0	0.0
5000	0.0	0.0
4998	0.0	0.0
2194	0.0	0.0
2195	0.0	0.0
4992	0.0	0.0
5025	0.0	0.0
2198	0.0	0.0
5027	0.0	0.0
2167	0.0	0.0
2139	0.0	0.0
2140	0.0	0.0
5048	0.0	0.0
5047	0.0	0.0
5043	0.0	0.0
2145	0.0	0.0
2146	0.0	0.0
5041	0.0	0.0
2150	0.0	0.0
2151	0.0	0.0
5040	0.0	0.0
5038	0.0	0.0
2155	0.0	0.0
5034	0.0	0.0
2159	0.0	0.0
2160	0.0	0.0
2161	0.0	0.0
5032	0.0	0.0
2164	0.0	0.0
2165	0.0	0.0
5030	0.0	0.0
2168	0.0	0.0
2314	0.0	0.0
4880	0.0	0.0
4879	0.0	0.0
2484	0.0	0.0
2485	0.0	0.0
4726	0.0	0.0
4725	0.0	0.0
4723	0.0	0.0
4722	0.0	0.0
2492	0.0	0.0
2493	0.0	0.0
4719	0.0	0.0
2482	0.0	0.0
4717	0.0	0.0
4713	0.0	0.0
4702	0.0	0.0
4701	0.0	0.0
4700	0.0	0.0
4698	0.0	0.0
2508	0.0	0.0
2509	0.0	0.0
4697	0.0	0.0
2511	0.0	0.0
4715	0.0	0.0
2481	0.0	0.0
2480	0.0	0.0
2477	0.0	0.0
2449	0.0	0.0
2450	0.0	0.0
2452	0.0	0.0
2456	0.0	0.0
4744	0.0	0.0
2458	0.0	0.0
4741	0.0	0.0
2461	0.0	0.0
4740	0.0	0.0
4739	0.0	0.0
4738	0.0	0.0
4737	0.0	0.0
4734	0.0	0.0
2467	0.0	0.0
2468	0.0	0.0
2469	0.0	0.0
4731	0.0	0.0
2471	0.0	0.0
2472	0.0	0.0
2473	0.0	0.0
2475	0.0	0.0
2513	0.0	0.0
2514	0.0	0.0
4694	0.0	0.0
2518	0.0	0.0
2555	0.0	0.0
2557	0.0	0.0
2558	0.0	0.0
4657	0.0	0.0
4654	0.0	0.0
2561	0.0	0.0
4652	0.0	0.0
4638	0.0	0.0
4637	0.0	0.0
2567	0.0	0.0
4629	0.0	0.0
2570	0.0	0.0
2571	0.0	0.0
4627	0.0	0.0
4625	0.0	0.0
4624	0.0	0.0
2577	0.0	0.0
4619	0.0	0.0
4618	0.0	0.0
4614	0.0	0.0
2581	0.0	0.0
4660	0.0	0.0
4750	0.0	0.0
4663	0.0	0.0
2548	0.0	0.0
4690	0.0	0.0
4687	0.0	0.0
2521	0.0	0.0
4683	0.0	0.0
2524	0.0	0.0
2525	0.0	0.0
2526	0.0	0.0
2527	0.0	0.0
4680	0.0	0.0
2530	0.0	0.0
2531	0.0	0.0
4673	0.0	0.0
2535	0.0	0.0
2536	0.0	0.0
2538	0.0	0.0
4672	0.0	0.0
4668	0.0	0.0
