	pval	padj
7025	0.0	0.0
4603	0.0	0.0
2218	0.0	0.0
2219	0.0	0.0
4602	0.0	0.0
2221	0.0	0.0
4599	0.0	0.0
4598	0.0	0.0
4597	0.0	0.0
2225	0.0	0.0
4594	0.0	0.0
4591	0.0	0.0
4590	0.0	0.0
4587	0.0	0.0
2231	0.0	0.0
4584	0.0	0.0
4583	0.0	0.0
4580	0.0	0.0
2235	0.0	0.0
4579	0.0	0.0
2237	0.0	0.0
2238	0.0	0.0
2216	0.0	0.0
2215	0.0	0.0
2214	0.0	0.0
2213	0.0	0.0
2191	0.0	0.0
2192	0.0	0.0
4621	0.0	0.0
2194	0.0	0.0
2195	0.0	0.0
4620	0.0	0.0
2197	0.0	0.0
4618	0.0	0.0
2199	0.0	0.0
4616	0.0	0.0
2239	0.0	0.0
2201	0.0	0.0
2203	0.0	0.0
4614	0.0	0.0
4612	0.0	0.0
2206	0.0	0.0
2207	0.0	0.0
4610	0.0	0.0
4609	0.0	0.0
2210	0.0	0.0
2211	0.0	0.0
4606	0.0	0.0
2202	0.0	0.0
4623	0.0	0.0
2240	0.0	0.0
4578	0.0	0.0
4540	0.0	0.0
4539	0.0	0.0
2275	0.0	0.0
4538	0.0	0.0
4535	0.0	0.0
2278	0.0	0.0
2279	0.0	0.0
2280	0.0	0.0
4534	0.0	0.0
4527	0.0	0.0
2283	0.0	0.0
2284	0.0	0.0
4525	0.0	0.0
2286	0.0	0.0
2287	0.0	0.0
2289	0.0	0.0
2290	0.0	0.0
4521	0.0	0.0
4520	0.0	0.0
4519	0.0	0.0
4517	0.0	0.0
2272	0.0	0.0
2271	0.0	0.0
4543	0.0	0.0
4547	0.0	0.0
2243	0.0	0.0
4572	0.0	0.0
4571	0.0	0.0
4569	0.0	0.0
2247	0.0	0.0
2248	0.0	0.0
2249	0.0	0.0
4567	0.0	0.0
4564	0.0	0.0
2253	0.0	0.0
2241	0.0	0.0
2256	0.0	0.0
4553	0.0	0.0
4552	0.0	0.0
4551	0.0	0.0
2262	0.0	0.0
4548	0.0	0.0
2264	0.0	0.0
2265	0.0	0.0
2266	0.0	0.0
2267	0.0	0.0
2268	0.0	0.0
2257	0.0	0.0
2295	0.0	0.0
4625	0.0	0.0
4626	0.0	0.0
4714	0.0	0.0
2110	0.0	0.0
4710	0.0	0.0
4704	0.0	0.0
4703	0.0	0.0
2114	0.0	0.0
2115	0.0	0.0
2116	0.0	0.0
2117	0.0	0.0
4702	0.0	0.0
4700	0.0	0.0
4699	0.0	0.0
2121	0.0	0.0
4697	0.0	0.0
2123	0.0	0.0
4690	0.0	0.0
2126	0.0	0.0
4689	0.0	0.0
2128	0.0	0.0
2130	0.0	0.0
2131	0.0	0.0
2108	0.0	0.0
2107	0.0	0.0
4720	0.0	0.0
2105	0.0	0.0
4753	0.0	0.0
4752	0.0	0.0
2083	0.0	0.0
2084	0.0	0.0
2085	0.0	0.0
2086	0.0	0.0
4751	0.0	0.0
4750	0.0	0.0
2090	0.0	0.0
4747	0.0	0.0
4687	0.0	0.0
4745	0.0	0.0
4737	0.0	0.0
4734	0.0	0.0
2096	0.0	0.0
